Site_N,Point,x,y
A04-24,5,121.594572,25.032508
A04-24,6,121.596984,25.033537
A04-24,7,121.598857,25.033412
A04-24,8,121.600314,25.033587
A04-24,9,121.601781,25.033581
A04-24,10,121.603174,25.032799
A04-25,1,121.5441278,24.99056667
A04-25,2,121.5460444,24.99193333
A04-25,3,121.5483472,24.99246667
A04-25,4,121.5505,24.99376667
A04-25,5,121.5525,24.99337222
A04-25,6,121.5545028,24.99145
A04-25,7,121.5548,24.9894
A04-26,1,121.5838472,24.97570833
A04-26,2,121.5850361,24.97424167
A04-26,3,121.58645,24.97343889
A04-26,4,121.5867278,24.97273056
A04-26,5,121.5880083,24.97010278
A04-26,6,121.5888472,24.96697222
A04-26,7,121.5886472,24.96501667
A04-26,8,121.5899889,24.96428333
A04-26,9,121.5916972,24.96396667
A04-26,10,121.593175,24.96368056
A04-28,1,121.53818,25.02892
A04-28,2,121.54119,25.02838
A04-28,3,121.54324,25.0258
A04-28,4,121.54533,25.02631
A04-28,5,121.54612,25.02942
A04-28,6,121.54864,25.03085
A04-28,7,121.54338,25.03115
A04-28,8,121.53947,25.03122
A04-28,9,121.53482,25.03103
A04-28,10,121.53628,25.02765
A04-30,1,121.61465,25.09683333
A04-30,2,121.6176917,25.0945
A04-30,3,121.6206139,25.09168889
A04-30,4,121.6217917,25.09524167
A04-30,5,121.6224667,25.08744722
A04-30,6,121.6248306,25.08653333
A04-30,7,121.62456,25.08469
A04-30,8,121.62421,25.08131
A04-30,9,121.62385,25.07772
A04-31,1,121.531981,24.985492
A04-31,5,121.52969,24.982602
A04-32,1,121.688736,25.110633
A04-32,2,121.686231,25.111322
A04-32,3,121.681,25.115661
A04-32,4,121.680902,25.121186
A04-32,5,121.67963,25.124388
A04-32,6,121.673797,25.133036
A04-33,1,121.70986,25.12479
A04-33,2,121.712438,25.121311
A04-33,3,121.710446,25.116293
A04-33,4,121.7126778,25.11325833
A04-33,5,121.711799,25.106861
A04-33,6,121.7129833,25.10077222
A04-34,2,121.53368,25.0165
A04-34,3,121.53673,25.01718
A04-34,4,121.53833,25.01722
A04-34,5,121.54214,25.01841
A04-34,6,121.54385,25.01986
A04-34,7,121.54008,25.0195
A04-34,8,121.5372,25.0209
A04-34,9,121.54001,25.01626
A04-35,1,121.5788333,25.10567778
A04-35,2,121.577325,25.10544167
A04-35,3,121.57595,25.10399167
A04-35,4,121.5744556,25.10249167
A04-35,5,121.5729361,25.10212778
A04-35,6,121.571175,25.10098611
A04-35,7,121.5696528,25.09976389
A04-35,8,121.5678972,25.09920278
A04-35,9,121.5663639,25.09823333
A04-35,10,121.5647167,25.09774444
A04-36,1,121.5684944,25.10614167
A04-36,2,121.5673389,25.10494722
A04-36,4,121.5700333,25.10426111
A04-36,5,121.5714944,25.10524722
A04-36,8,121.5752139,25.105875
A04-36,11,121.5692056,25.10261667
A04-36,12,121.5733333,25.10623611
A04-37,1,121.5100833,25.22070278
A04-37,2,121.5062861,25.22361389
A04-37,3,121.5038306,25.22533056
A04-37,4,121.5010917,25.22757778
A04-37,5,121.4992194,25.22853333
A04-37,6,121.496675,25.23021944
A04-37,7,121.4950194,25.23314167
A04-37,8,121.4935972,25.23480833
A04-37,10,121.4850333,25.24294167
A04-39,1,121.737061,24.954013
A04-39,2,121.736993,24.9559
A04-39,3,121.736288,24.957177
A04-39,4,121.735897,24.958154
A04-39,5,121.731797,24.961379
A04-39,6,121.72977,24.96203
A04-39,7,121.727893,24.962752
A04-39,8,121.727958,24.965352
A04-39,9,121.727034,24.966566
A04-39,10,121.726093,24.968178
A04-41,1,121.5378389,24.93596944
A04-41,2,121.5367889,24.93388889
A04-41,3,121.5355167,24.93533611
A04-41,4,121.5348028,24.93699167
A04-41,5,121.5329972,24.93845278
A04-41,6,121.5312306,24.93529722
A04-41,7,121.5326306,24.93373056
A04-41,8,121.5333528,24.93185
A04-41,9,121.5340111,24.93034167
A04-41,10,121.5340611,24.92843611
A04-43,1,121.53091,25.03916
A04-43,2,121.5325,25.04129
A04-43,3,121.52827,25.04168
A04-43,4,121.52364,25.04134
A04-43,5,121.52267,25.03769
A04-43,6,121.52216,25.03575
A04-43,7,121.52042,25.03662
A04-43,8,121.51926,25.0347
A04-43,9,121.52161,25.03344
A04-43,10,121.52313,25.03456
A04-44,1,121.55744,24.97881
A04-44,2,121.55894,24.98028
A04-44,3,121.56144,24.97994
A04-44,4,121.56369,24.98097
A04-44,5,121.56586,24.98142
A04-44,6,121.56806,24.98111
A04-44,7,121.57025,24.98206
A04-44,8,121.57189,24.986
A04-45,1,121.57192,24.98778
A04-45,2,121.57228,24.99092
A04-45,3,121.5725,24.99308
A04-45,4,121.57319,24.99525
A04-45,5,121.57522,24.99681
A04-45,6,121.57619,24.99864
A04-45,7,121.57836,24.99944
A04-45,8,121.58075,24.99942
A04-46,1,121.5762778,24.96991667
A04-46,2,121.5759722,24.96827778
A04-46,3,121.5774722,24.96808333
A04-46,4,121.5788056,24.97019444
A04-46,5,121.5800278,24.97127778
A04-46,6,121.5794167,24.97325
A04-48,1,121.446186,25.205879
A04-48,2,121.443427,25.205716
A04-48,3,121.43981,25.2051
A04-48,4,121.43718,25.20718
A04-48,5,121.442184,25.207823
