site,count,year,,,,,,
A35-03,0,2017,,,,,,
A35-04,0,2017,,,,,,
A35-05,0,2017,,,,,,
A35-06,0,2017,,,,,,
A35-07,0,2017,,,,,,
A35-08,NA,2017,,,,,,
A35-09,NA,2017,,,,,,
A35-10,NA,2017,,,,,,
A35-12,NA,2017,,,,,,
A35-13,NA,2017,,,,,,
A36-01,0,2017,,,,,,
A36-02,0,2017,,,,,,
A36-03,0,2017,,,,,,
A36-04,0,2017,,,,,,
A36-05,0,2017,,,,,,
A36-09,0,2017,,,,,,
A36-14,NA,2017,,,,,,
A36-15,0,2017,,,,,,
A36-16,0,2017,,,,,,
A37-01,0,2017,,,,,,
A37-02,0,2017,,,,,,
A37-03,NA,2017,,,,,,
A37-04,0,2017,,,,,,
A37-05,NA,2017,,,,,,
A37-07,0,2017,,,,,,
A37-08,0,2017,,,,,,
A37-09,0,2017,,,,,,
A39-01,0,2017,,,,,,
A39-03,0,2017,,,,,,
A39-04,0,2017,,,,,,
A39-07,0,2017,,,,,,
A40-01,NA,2017,,,,,,
A40-02,NA,2017,,,,,,
A40-03,NA,2017,,,,,,
A40-05,0,2017,,,,,,
A40-06,0,2017,,,,,,
A40-09,NA,2017,,,,,,
A40-10,0,2017,,,,,,
A40-11,0,2017,,,,,,
A40-12,0,2017,,,,,,
A41-01,0,2017,,,,,,
A41-02,0,2017,,,,,,
A41-05,NA,2017,,,,,,
B06-01,NA,2017,,,,,,
B10-01,0,2017,,,,,,
B10-02,0,2017,,,,,,
B10-03,NA,2017,,,,,,
B11-01,0,2017,,,,,,
B13-01,NA,2017,,,,,,
B13-02,NA,2017,,,,,,
B13-03,NA,2017,,,,,,
B14-01,0,2017,,,,,,
B14-02,0,2017,,,,,,
B14-03,0,2017,,,,,,
B14-04,0,2017,,,,,,
B16-01,NA,2017,,,,,,
B16-02,NA,2017,,,,,,
B21-01,0,2017,,,,,,
B28-01,0,2017,,,,,,
B28-04,0,2017,,,,,,
B29-01,NA,2017,,,,,,
B29-02,0,2017,,,,,,
B30-01,0,2017,,,,,,
B30-02,0,2017,,,,,,
B30-04,0,2017,,,,,,
B32-01,0,2017,,,,,,
B32-02,0,2017,,,,,,
B32-03,NA,2017,,,,,,
B32-04,NA,2017,,,,,,
B32-05,NA,2017,,,,,,
B33-01,1,2017,,,,,,
B33-02,NA,2017,,,,,,
B36-02,NA,2017,,,,,,
B37-01,NA,2017,,,,,,
B37-02,0,2017,,,,,,
B37-03,NA,2017,,,,,,
B38-01,0,2017,,,,,,
B38-02,NA,2017,,,,,,
B38-03,NA,2017,,,,,,
B38-04,NA,2017,,,,,,
B38-07,2,2017,,,,,,
B38-08,0,2017,,,,,,
C14-01,0,2017,,,,,,
C14-02,0,2017,,,,,,
C14-03,0,2017,,,,,,
C14-04,0,2017,,,,,,
C30-01,0,2017,,,,,,
C30-02,0,2017,,,,,,
C37-01,1,2017,,,,,,
C37-02,1,2017,,,,,,
C37-03,0,2017,,,,,,
C37-04,0,2017,,,,,,
C37-05,0,2017,,,,,,
A01-01,0,2018,,,,,,
A01-02,NA,2018,,,,,,
A01-03,NA,2018,,,,,,
A02-01,0,2018,,,,,,
A02-02,0,2018,,,,,,
A02-03,0,2018,,,,,,
A03-01,0,2018,,,,,,
A03-03,0,2018,,,,,,
