,Site_N,Point,X_new,Y_new
533,A05-15,2,121.5851944,24.75977778
534,A05-15,3,121.5876944,24.75958333
535,A05-15,4,121.58975,24.76027778
536,A05-15,5,121.5924722,24.75911111
537,A05-15,6,121.5921389,24.75702778
538,A05-15,7,121.5946667,24.75575
539,A05-15,8,121.5971111,24.75486111
540,A05-17,1,121.6915889,24.78431389
541,A05-17,2,121.6878694,24.78535833
542,A05-17,3,121.6797389,24.78535833
543,A05-17,4,121.6776694,24.78645278
544,A05-17,5,121.6768583,24.78495278
546,A05-19,1,121.7266278,24.82145
547,A05-19,2,121.7273139,24.82343333
549,A05-19,4,121.7314222,24.82547222
551,A05-19,6,121.7348083,24.82247778
552,A07-10,1,121.7805556,24.45055556
553,A07-10,2,121.7813861,24.4525
554,A07-10,3,121.7833,24.45391
555,A07-10,4,121.78956,24.45189
556,A07-10,5,121.7925,24.45333
557,A07-10,6,121.7935,24.45058
558,A07-10,7,121.7958306,24.44861111
559,A07-10,8,121.7983333,24.44805556
560,A07-10,9,121.80025,24.44676
561,A07-10,10,121.80339,24.44655
626,A09-01,2,121.42795,25.13886389
627,A09-01,3,121.4294528,25.137225
628,A09-01,4,121.4292167,25.13542222
629,A09-01,5,121.4288556,25.13348056
630,A09-01,6,121.4272444,25.13220278
631,A09-02,1,121.3055556,25.05132222
632,A09-02,2,121.3078139,25.05054167
633,A09-02,3,121.3097861,25.05107778
634,A09-02,4,121.3134944,25.05178611
635,A09-02,5,121.3162889,25.0512
636,A09-02,6,121.3210028,25.05411667
637,A09-03,1,121.397174,24.997018
638,A09-03,2,121.396327,24.995314
639,A09-03,3,121.393935,24.994047
640,A09-03,4,121.391824,24.993529
641,A09-03,5,121.389874,24.994031
642,A09-03,6,121.388464,24.996192
644,A09-04,2,120.9766278,24.69132222
645,A09-04,3,120.9761139,24.68833611
646,A09-04,4,120.9739889,24.688375
647,A09-04,5,120.9794472,24.684725
649,A09-04,7,120.982775,24.68499722
650,A09-04,8,120.9833278,24.68833611
653,A09-05,1,121.2989472,24.84769167
654,A09-05,2,121.3013333,24.84755278
655,A09-05,3,121.3039917,24.84745556
656,A09-05,4,121.3061583,24.84695556
657,A09-05,5,121.3085639,24.84724722
658,A09-05,6,121.3107389,24.84670278
659,A09-08,1,121.19125,25.08818
660,A09-08,2,121.19233,25.09006
661,A09-08,3,121.19383,25.09125
662,A09-08,4,121.19541,25.09249
663,A09-08,5,121.19539,25.09396
664,A09-08,6,121.19324,25.09537
665,A09-08,7,121.1907389,25.094025
666,A09-10,1,121.48966,25.07926
667,A09-10,2,121.49131,25.08146
668,A09-10,3,121.48736,25.08378
669,A09-10,4,121.48912,25.08829
670,A09-10,5,121.49353,25.08651
671,A09-10,6,121.4941,25.08439
672,A09-12,1,121.51704,25.05985
673,A09-12,2,121.51475,25.06194
674,A09-12,3,121.51522,25.06414
675,A09-12,4,121.51611,25.06661
676,A09-12,5,121.51553,25.07019
677,A09-12,6,121.51206,25.06817
678,A09-12,7,121.51289,25.06536
679,A09-12,8,121.51047,25.05867
680,A09-13,1,121.22623,25.0475
681,A09-13,3,121.22825,25.04772
