"Site_N","Year","BBS","Foresty"
"A10-01","2021","BBS",NA
"A10-01","2022","BBS",NA
"A10-02","2015","BBS",NA
"A10-02","2016","BBS",NA
"A10-02","2017","BBS",NA
"A10-02","2018","BBS",NA
"A10-02","2019","BBS",NA
"A10-02","2020","BBS",NA
"A10-02","2021","BBS",NA
"A10-02","2022","BBS",NA
"A10-03","2015","BBS",NA
"A10-03","2018","BBS",NA
"A10-03","2019","BBS",NA
"A10-03","2020","BBS",NA
"A10-03","2021","BBS",NA
"A10-03","2022","BBS",NA
"A10-04","2018","BBS",NA
"A10-04","2021","BBS",NA
"A12-01","2015","BBS",NA
"A12-01","2016","BBS",NA
"A12-01","2017","BBS",NA
"A12-01","2018","BBS",NA
"A12-01","2019","BBS",NA
"A12-01","2020","BBS",NA
"A12-01","2021","BBS",NA
"A12-01","2022","BBS",NA
"A12-02","2015","BBS",NA
"A12-02","2016","BBS",NA
"A12-02","2017","BBS",NA
"A12-02","2018","BBS",NA
"A12-02","2020","BBS",NA
"A12-02","2021","BBS",NA
"A12-02","2022","BBS",NA
"A12-06","2015","BBS",NA
"A12-06","2016","BBS",NA
"A12-06","2017","BBS",NA
"A12-06","2018","BBS",NA
"A12-06","2019","BBS",NA
"A12-06","2020","BBS",NA
"A12-06","2021","BBS",NA
"A12-06","2022","BBS",NA
"A16-01","2015","BBS",NA
"A16-01","2016","BBS",NA
"A16-01","2017","BBS",NA
"A16-01","2018","BBS",NA
"A16-01","2019","BBS",NA
"A16-01","2020","BBS",NA
"A16-01","2021","BBS",NA
"A16-01","2022","BBS",NA
"A16-02","2015","BBS",NA
"A16-02","2016","BBS",NA
"A16-02","2017","BBS",NA
"A16-02","2018","BBS",NA
"A16-02","2019","BBS",NA
"A16-02","2020","BBS",NA
"A16-02","2021","BBS",NA
"A16-02","2022","BBS",NA
"A16-03","2015","BBS",NA
"A16-03","2020",NA,"Foresty"
"A16-03","2021",NA,"Foresty"
"A16-03","2022",NA,"Foresty"
"A16-04","2015","BBS",NA
"A16-05","2015","BBS",NA
"A16-05","2020",NA,"Foresty"
"A16-05","2021",NA,"Foresty"
"A16-05","2022",NA,"Foresty"
"A17-01","2015","BBS",NA
"A17-01","2016","BBS",NA
"A17-01","2017","BBS",NA
"A17-01","2018","BBS",NA
"A17-01","2019","BBS",NA
"A17-01","2020","BBS",NA
"A17-01","2021","BBS",NA
"A17-01","2022","BBS",NA
"A17-02","2015","BBS",NA
"A17-03","2017","BBS",NA
"A17-03","2018","BBS",NA
"A17-03","2019","BBS",NA
"A17-03","2020","BBS",NA
"A17-03","2021","BBS",NA
"A17-03","2022","BBS",NA
"A17-04","2015","BBS",NA
"A17-04","2016","BBS",NA
"A17-04","2017","BBS",NA
"A17-04","2018","BBS",NA
"A17-04","2019","BBS",NA
"A17-04","2020","BBS",NA
"A17-04","2021","BBS",NA
"A17-06","2020",NA,"Foresty"
"A17-06","2021",NA,"Foresty"
"A17-06","2022",NA,"Foresty"
"A17-07","2021",NA,"Foresty"
"A17-07","2022",NA,"Foresty"
"A17-08","2021",NA,"Foresty"
"A17-08","2022",NA,"Foresty"
"A17-09","2015","BBS",NA
"A17-09","2016","BBS",NA
"A17-09","2017","BBS",NA
"A17-09","2018","BBS",NA
"A17-09","2019","BBS",NA
"A17-09","2020","BBS",NA
"A17-09","2021","BBS",NA
"A17-09","2022","BBS",NA
"A18-01","2015","BBS",NA
"A18-01","2016","BBS",NA
"A18-01","2017","BBS",NA
"A18-01","2018","BBS",NA
"A18-01","2019","BBS",NA
"A18-01","2020","BBS",NA
"A18-01","2021","BBS",NA
"A18-01","2022","BBS",NA
"A18-02","2015","BBS",NA
"A18-02","2016","BBS",NA
"A18-02","2017","BBS",NA
"A18-02","2018","BBS",NA
"A18-02","2019","BBS",NA
"A18-02","2020","BBS",NA
"A18-02","2021","BBS",NA
"A18-02","2022","BBS",NA
"A18-03","2015","BBS",NA
"A18-03","2016","BBS",NA
"A18-03","2017","BBS",NA
"A18-03","2018","BBS",NA
"A18-03","2019","BBS",NA
"A18-03","2020","BBS",NA
"A18-03","2021","BBS",NA
"A18-03","2022","BBS",NA
"A18-04","2015","BBS",NA
"A18-04","2016","BBS",NA
"A18-04","2017","BBS",NA
"A18-04","2018","BBS",NA
"A18-04","2019","BBS",NA
"A18-04","2020","BBS",NA
"A18-04","2021","BBS",NA
"A18-04","2022","BBS",NA
"A19-01","2015","BBS",NA
"A19-01","2016","BBS",NA
"A19-01","2017","BBS",NA
"A19-01","2018","BBS",NA
"A19-01","2019","BBS",NA
"A19-01","2020","BBS",NA
"A19-01","2021","BBS",NA
"A19-01","2022","BBS",NA
"A19-02","2015","BBS",NA
"A19-02","2016","BBS",NA
"A19-02","2017","BBS",NA
"A19-02","2018","BBS",NA
"A19-02","2019","BBS",NA
"A19-02","2020","BBS",NA
"A19-02","2021","BBS",NA
"A19-02","2022","BBS",NA
"A19-03","2015","BBS",NA
"A19-03","2016","BBS",NA
"A19-03","2017","BBS",NA
"A19-03","2018","BBS",NA
"A19-03","2019","BBS",NA
"A19-03","2020","BBS",NA
"A19-03","2021","BBS",NA
"A19-03","2022","BBS",NA
"A19-04","2015","BBS",NA
"A19-04","2016","BBS",NA
"A19-04","2017","BBS",NA
