"Site_N","Year","BBS","Foresty"
"B38-01","2018","BBS",NA
"B38-01","2019","BBS",NA
"B38-01","2020","BBS",NA
"B38-01","2021","BBS",NA
"B38-01","2022","BBS",NA
"B38-02","2020","BBS",NA
"B38-02","2021","BBS",NA
"B38-03","2020","BBS",NA
"B38-03","2021","BBS",NA
"B38-03","2022",NA,"Foresty"
"B38-04","2020","BBS",NA
"B38-04","2021","BBS",NA
"B38-04","2022",NA,"Foresty"
"B38-07","2015","BBS",NA
"B38-07","2016","BBS",NA
"B38-07","2017","BBS",NA
"B38-07","2018","BBS",NA
"B38-07","2019","BBS",NA
"B38-07","2020","BBS",NA
"B38-07","2021","BBS",NA
"B38-07","2022","BBS",NA
"B38-08","2015","BBS",NA
"B38-08","2016","BBS",NA
"B38-08","2017","BBS",NA
"B38-08","2018","BBS",NA
"B38-08","2019","BBS",NA
"B38-08","2020","BBS",NA
"B38-08","2021","BBS",NA
"B38-08","2022","BBS",NA
"C14-01","2015","BBS",NA
"C14-01","2016","BBS",NA
"C14-01","2017","BBS",NA
"C14-01","2018","BBS",NA
"C14-01","2019","BBS",NA
"C14-01","2020","BBS",NA
"C14-01","2021","BBS",NA
"C14-01","2022","BBS",NA
"C14-02","2015","BBS",NA
"C14-02","2016","BBS",NA
"C14-02","2017","BBS",NA
"C14-02","2018","BBS",NA
"C14-02","2019","BBS",NA
"C14-02","2020","BBS",NA
"C14-02","2021","BBS",NA
"C14-02","2022","BBS",NA
"C14-03","2015","BBS",NA
"C14-03","2016","BBS",NA
"C14-03","2017","BBS",NA
"C14-03","2018","BBS",NA
"C14-03","2019","BBS",NA
"C14-03","2020","BBS",NA
"C14-03","2021","BBS",NA
"C14-03","2022","BBS",NA
"C14-04","2015","BBS",NA
"C14-04","2016","BBS",NA
"C14-04","2017","BBS",NA
"C14-04","2018","BBS",NA
"C14-04","2019","BBS",NA
"C14-04","2020","BBS",NA
"C14-04","2021","BBS",NA
"C14-04","2022","BBS",NA
"C30-01","2015","BBS",NA
"C30-01","2016","BBS",NA
"C30-01","2017","BBS",NA
"C30-01","2018","BBS",NA
"C30-01","2019","BBS",NA
"C30-01","2020","BBS",NA
"C30-01","2021","BBS",NA
"C30-01","2022","BBS",NA
"C30-02","2015","BBS",NA
"C30-02","2016","BBS",NA
"C30-02","2017","BBS",NA
"C30-02","2018","BBS",NA
"C30-02","2019","BBS",NA
"C30-02","2020","BBS",NA
"C30-02","2021","BBS",NA
"C30-02","2022","BBS",NA
"C37-01","2015","BBS",NA
"C37-01","2016","BBS",NA
"C37-01","2017","BBS",NA
"C37-01","2018","BBS",NA
"C37-01","2019","BBS",NA
"C37-01","2020","BBS",NA
"C37-01","2022","BBS",NA
"C37-02","2015","BBS",NA
"C37-02","2016","BBS",NA
"C37-02","2017","BBS",NA
"C37-02","2018","BBS",NA
"C37-02","2019","BBS",NA
"C37-02","2020","BBS",NA
"C37-02","2022","BBS",NA
"C37-03","2015","BBS",NA
"C37-03","2016","BBS",NA
"C37-03","2017","BBS",NA
"C37-03","2018","BBS",NA
"C37-03","2019","BBS",NA
"C37-03","2020","BBS",NA
"C37-03","2022","BBS",NA
"C37-04","2015","BBS",NA
"C37-04","2016","BBS",NA
"C37-04","2017","BBS",NA
"C37-04","2018","BBS",NA
"C37-04","2019","BBS",NA
"C37-04","2020","BBS",NA
"C37-04","2021","BBS",NA
"C37-04","2022","BBS",NA
"C37-05","2015","BBS",NA
"C37-05","2016","BBS",NA
"C37-05","2017","BBS",NA
"C37-05","2018","BBS",NA
"C37-05","2019","BBS",NA
"C37-05","2020","BBS",NA
"C37-05","2021","BBS",NA
"C37-05","2022","BBS",NA
