"Site_N","Point","2015","2016","2017","2018","2019","2020","2021","2022"
"A05-06","3",NA,NA,NA,NA,NA,NA,0,0
"A05-06","4",NA,NA,NA,NA,NA,NA,0,0
"A05-06","5",NA,NA,NA,NA,NA,NA,0,0
"A05-06","6",NA,NA,NA,NA,NA,NA,0,0
"A05-06","7",NA,NA,NA,NA,NA,NA,0,0
"A05-06","8",NA,NA,NA,NA,NA,NA,0,0
"A09-01","1",0,0,NA,NA,0,NA,0,NA
"A09-01","2",0,0,NA,NA,0,NA,0,NA
"A09-01","3",0,0,NA,NA,0,NA,0,NA
"A09-01","4",0,0,NA,NA,0,NA,0,NA
"A09-01","5",0,0,NA,NA,0,NA,0,NA
"A09-01","6",0,0,NA,NA,0,NA,0,NA
"A09-02","1",0,0,0,NA,0,0,NA,0
"A09-02","2",0,0,0,NA,0,0,NA,0
"A09-02","3",0,0,0,NA,0,0,NA,0
"A09-02","4",0,0,0,NA,0,0,NA,0
"A09-02","5",0,0,0,NA,0,0,NA,0
"A09-02","6",0,0,0,NA,0,0,NA,NA
"A09-03","1",0,NA,0,0,0,0,0,0
"A09-03","2",0,NA,0,0,0,0,0,0
"A09-03","3",0,NA,0,0,0,0,0,0
"A09-03","4",0,NA,0,0,0,0,0,0
"A09-03","5",0,NA,0,0,0,0,0,0
"A09-03","6",0,NA,0,0,0,0,0,0
"A09-04","1",0,0,0,0,NA,0,0,0
"A09-04","10",0,0,0,0,NA,0,0,0
"A09-04","2",0,0,0,0,NA,0,0,0
"A09-04","3",0,0,0,0,NA,0,0,0
"A09-04","4",0,0,0,0,NA,0,0,0
"A09-04","5",0,0,0,0,NA,0,0,0
"A09-04","6",0,0,0,0,NA,0,0,0
"A09-04","7",0,0,0,0,NA,0,0,0
"A09-04","8",0,0,0,0,NA,0,0,0
"A09-04","9",0,0,0,0,NA,0,0,0
"A09-05","1",0,0,NA,NA,NA,0,0,0
"A09-05","2",0,0,NA,NA,NA,0,0,0
"A09-05","3",0,0,NA,NA,NA,0,0,0
"A09-05","4",0,0,NA,NA,NA,0,0,0
"A09-05","5",0,0,NA,NA,NA,0,0,0
"A09-05","6",0,0,NA,NA,NA,0,0,0
"A09-06","1",NA,0,0,NA,NA,NA,0,0
"A09-06","2",NA,0,0,NA,NA,NA,0,0
"A09-06","3",NA,0,0,NA,NA,NA,0,0
"A09-06","4",NA,0,0,NA,NA,NA,0,0
"A09-06","5",NA,0,0,NA,NA,NA,0,0
"A09-06","6",NA,0,0,NA,NA,NA,0,0
"A09-06","7",NA,0,0,NA,NA,NA,0,0
"A09-08","1",0,0,0,0,0,0,0,0
"A09-08","2",0,0,0,0,0,0,0,0
"A09-08","3",0,0,0,0,0,0,0,0
"A09-08","4",0,0,0,0,0,0,0,0
"A09-08","5",0,0,0,0,0,0,0,0
"A09-08","6",0,0,0,0,0,0,0,0
"A09-08","7",0,0,0,0,0,0,0,0
"A09-09","1",NA,0,0,0,0,0,0,0
"A09-09","2",NA,0,0,0,0,0,0,0
"A09-09","3",NA,0,0,0,0,0,0,0
"A09-09","4",NA,0,0,0,0,0,0,0
"A09-09","5",NA,0,0,0,0,0,0,0
"A09-09","6",NA,0,0,0,0,0,0,0
"A09-09","7",NA,0,0,0,0,0,0,0
"A09-09","8",NA,0,0,0,0,0,0,0
"A09-10","1",0,0,0,0,0,0,0,0
"A09-10","2",0,0,0,0,0,0,0,0
"A09-10","3",0,0,0,0,0,0,0,0
"A09-10","4",0,0,0,0,0,0,0,0
"A09-10","5",0,0,0,0,0,0,0,0
"A09-10","6",0,0,0,0,0,0,0,0
"A09-12","1",0,0,0,0,0,0,0,0
"A09-12","2",0,0,0,0,0,0,0,0
"A09-12","3",0,0,0,0,0,0,0,0
"A09-12","4",0,0,0,0,0,0,0,0
"A09-12","5",0,0,0,0,0,0,0,0
"A09-12","6",0,0,0,0,0,0,0,0
"A09-12","7",0,0,0,0,0,0,0,0
"A09-12","8",0,0,0,0,0,0,0,0
"A09-13","1",0,0,0,0,0,0,0,0
"A09-13","10",0,0,0,0,0,0,0,NA
"A09-13","3",0,0,0,0,0,0,0,0
"A09-13","4",0,0,0,0,0,0,0,0
"A09-13","5",0,0,0,0,0,0,0,0
"A09-13","6",0,0,0,0,0,0,0,NA
"A09-13","7",0,0,0,0,0,0,0,NA
"A09-13","8",0,0,0,0,0,0,0,NA
"A09-13","9",0,0,0,0,0,0,0,NA
"A09-14","1",NA,NA,NA,NA,NA,0,0,0
"A09-14","10",NA,NA,NA,NA,NA,0,0,0
"A09-14","2",NA,NA,NA,NA,NA,0,0,0
"A09-14","3",NA,NA,NA,NA,NA,0,0,0
"A09-14","4",NA,NA,NA,NA,NA,0,0,0
"A09-14","5",NA,NA,NA,NA,NA,0,0,0
"A09-14","6",NA,NA,NA,NA,NA,0,0,0
"A09-14","7",NA,NA,NA,NA,NA,0,0,0
"A09-14","8",NA,NA,NA,NA,NA,0,0,0
"A09-14","9",NA,NA,NA,NA,NA,0,0,0
"A09-15","1",0,0,0,0,0,0,0,0
"A09-15","10",0,0,0,0,0,0,0,0
"A09-15","2",0,0,0,0,0,0,0,0
"A09-15","3",0,0,0,0,0,0,0,0
"A09-15","4",0,0,0,0,0,0,0,0
"A09-15","5",0,0,0,0,0,0,0,0
"A09-15","6",0,0,0,0,0,0,0,0
"A09-15","7",0,0,0,0,0,0,0,0
"A09-15","8",0,0,0,0,0,0,0,0
"A09-15","9",0,0,0,0,0,0,0,0
"A09-16","1",0,0,0,NA,NA,NA,0,0
"A09-16","10",0,0,0,NA,NA,NA,0,0
"A09-16","2",0,0,0,NA,NA,NA,0,0
"A09-16","3",0,0,0,NA,NA,NA,0,0
"A09-16","4",0,0,0,NA,NA,NA,0,0
"A09-16","5",0,0,0,NA,NA,NA,0,0
"A09-16","6",0,0,0,NA,NA,NA,0,0
"A09-16","7",0,0,0,NA,NA,NA,0,0
"A09-16","8",0,0,0,NA,NA,NA,0,0
"A09-16","9",0,0,0,NA,NA,NA,0,NA
"A09-17","1",NA,0,0,0,0,0,0,0
"A09-17","10",NA,0,0,0,0,0,0,0
"A09-17","2",NA,0,0,0,0,0,0,0
"A09-17","3",NA,0,0,0,0,0,0,0
"A09-17","4",NA,0,0,0,0,0,0,0
"A09-17","5",NA,0,0,0,0,0,0,0
"A09-17","6",NA,0,0,0,0,0,0,0
"A09-17","7",NA,0,0,0,0,0,0,0
"A09-17","8",NA,0,0,0,0,0,0,0
"A09-17","9",NA,0,0,0,0,0,0,0
"A09-18","1",0,0,NA,NA,NA,0,0,0
"A09-18","2",0,0,NA,NA,NA,0,0,0
"A09-18","3",0,0,NA,NA,NA,0,0,0
"A09-18","4",0,0,NA,NA,NA,0,0,0
"A09-18","5",0,0,NA,NA,NA,0,0,0
"A09-18","6",0,0,NA,NA,NA,0,0,0
"A09-18","7",0,0,NA,NA,NA,0,0,0
"A09-18","8",0,0,NA,NA,NA,0,0,0
"A09-19","3",0,NA,NA,NA,NA,0,0,0
"A09-19","4",0,NA,NA,NA,NA,0,0,0
"A09-19","5",0,NA,NA,NA,NA,0,0,0
"A09-19","6",0,NA,NA,NA,NA,0,0,0
"A09-19","7",0,NA,NA,NA,NA,0,0,0
"A09-19","8",0,NA,NA,NA,NA,0,0,0
"A09-20","1",0,0,0,0,0,0,0,0
"A09-20","10",0,0,0,0,0,0,0,0
"A09-20","2",0,0,0,0,0,0,0,0
"A09-20","3",0,0,0,0,0,0,0,0
"A09-20","6",0,0,0,0,0,0,0,0
"A09-20","7",0,0,0,0,0,0,0,0
"A09-20","8",0,0,0,0,0,0,0,0
"A09-20","9",0,0,0,0,0,0,0,0
"A09-22","1",0,0,NA,NA,NA,NA,NA,NA
"A09-22","2",0,0,NA,NA,NA,NA,NA,NA
"A09-22","3",0,0,NA,NA,NA,NA,NA,NA
"A09-22","4",0,0,NA,NA,NA,NA,NA,NA
"A09-22","5",0,0,NA,NA,NA,NA,NA,NA
"A09-22","6",0,0,NA,NA,NA,NA,NA,NA
"A09-23","1",NA,NA,NA,NA,NA,NA,0,0
"A09-23","2",NA,NA,NA,NA,NA,NA,0,0
"A09-23","3",NA,NA,NA,NA,NA,NA,0,0
"A09-23","4",NA,NA,NA,NA,NA,NA,0,0
"A09-23","5",NA,NA,NA,NA,NA,NA,0,0
"A09-23","6",NA,NA,NA,NA,NA,NA,0,0
"A09-23","7",NA,NA,NA,NA,NA,NA,0,0
"A09-24","1",NA,0,0,0,0,0,0,0
"A09-24","2",NA,0,0,0,0,0,0,0
"A09-24","3",NA,0,0,0,0,0,0,0
"A09-24","4",NA,0,0,0,0,0,0,0
"A09-24","5",NA,0,0,0,0,0,0,0
"A09-24","6",NA,0,0,0,0,0,0,0
"A09-24","7",NA,0,0,0,0,0,0,0
"A09-24","8",NA,0,0,0,0,0,0,0
"A09-24","9",NA,0,0,0,0,0,0,0
"A09-26","1",NA,0,NA,NA,0,0,0,0
"A09-26","2",NA,0,NA,NA,0,0,0,0
"A09-26","3",NA,0,NA,NA,0,0,0,0
"A09-26","4",NA,0,NA,NA,0,0,0,0
"A09-26","5",NA,0,NA,NA,0,0,0,0
"A09-26","6",NA,0,NA,NA,0,0,0,0
"A09-26","7",NA,0,NA,NA,0,0,0,0
"A09-26","8",NA,0,NA,NA,0,0,0,0
"A09-27","1",NA,NA,NA,NA,NA,NA,NA,0
"A09-27","2",NA,NA,NA,NA,NA,NA,NA,0
"A09-27","4",NA,NA,NA,NA,NA,NA,NA,0
"A09-27","5",NA,NA,NA,NA,NA,NA,NA,0
"A09-27","6",NA,NA,NA,NA,NA,NA,NA,0
"A09-27","7",NA,NA,NA,NA,NA,NA,NA,0
"A10-01","1",0,0,0,0,0,0,0,0
"A10-01","10",0,0,0,0,0,0,0,0
"A10-01","2",0,0,0,0,0,0,0,0
"A10-01","3",0,0,0,0,0,0,0,0
"A10-01","4",0,0,0,0,0,0,0,0
"A10-01","5",0,0,0,0,0,0,0,0
"A10-01","6",0,0,0,0,0,0,0,0
"A10-01","7",0,0,0,0,0,0,0,0
"A10-01","8",0,0,0,0,0,0,0,0
"A10-01","9",0,0,0,0,0,0,0,0
"A10-02","1",0,0,0,0,0,0,0,0
"A10-02","10",0,0,0,0,0,0,0,0
"A10-02","2",0,0,0,0,0,0,0,0
"A10-02","3",0,0,0,0,0,0,0,0
"A10-02","4",0,0,0,0,0,0,0,0
"A10-02","5",0,0,0,0,1,0,0,0
"A10-02","6",0,0,0,0,0,0,0,0
"A10-02","7",0,0,0,0,0,0,0,0
"A10-02","8",0,0,0,0,0,0,0,0
"A10-02","9",0,0,0,0,0,0,0,0
"A10-03","1",0,NA,NA,0,0,0,0,0
"A10-03","2",0,NA,NA,0,0,0,0,1
"A10-03","3",0,NA,NA,0,0,0,0,0
"A10-03","4",0,NA,NA,0,0,0,0,0
"A10-03","5",0,NA,NA,0,0,0,0,0
"A10-03","6",0,NA,NA,0,0,0,0,0
"A10-04","1",NA,NA,NA,0,NA,NA,0,NA
"A10-04","10",NA,NA,NA,0,NA,NA,0,NA
"A10-04","2",NA,NA,NA,0,NA,NA,0,NA
"A10-04","3",NA,NA,NA,0,NA,NA,0,NA
"A10-04","4",NA,NA,NA,0,NA,NA,0,NA
"A10-04","5",NA,NA,NA,0,NA,NA,0,NA
"A10-04","6",NA,NA,NA,0,NA,NA,0,NA
"A10-04","7",NA,NA,NA,0,NA,NA,0,NA
"A10-04","8",NA,NA,NA,0,NA,NA,0,NA
"A10-04","9",NA,NA,NA,0,NA,NA,0,NA
"A12-01","1",0,0,0,0,0,0,0,0
"A12-01","10",0,0,0,0,0,0,0,0
"A12-01","2",0,0,0,0,0,0,0,0
"A12-01","3",0,0,0,0,0,0,0,0
"A12-01","4",0,0,0,0,0,0,0,0
"A12-01","5",0,0,0,0,0,0,0,0
"A12-01","6",0,0,0,0,0,0,0,0
"A12-01","7",0,0,0,0,0,0,0,0
"A12-01","8",0,0,0,0,0,0,0,0
"A12-01","9",0,0,0,0,0,0,0,0
"A12-02","1",0,0,0,0,NA,0,0,0
"A12-02","2",0,0,0,0,NA,0,0,0
"A12-02","3",0,0,0,0,NA,0,0,0
"A12-02","4",0,0,0,0,NA,0,0,0
"A12-02","5",0,0,0,0,NA,0,0,0
"A12-02","6",0,0,0,0,NA,0,0,0
"A12-02","7",0,0,0,0,NA,0,0,0
"A12-06","1",0,0,0,0,0,0,0,0
"A12-06","2",0,0,0,0,0,0,0,0
"A12-06","3",0,0,0,0,0,0,0,0
"A12-06","4",0,0,0,0,0,0,0,0
"A12-06","5",0,0,0,0,0,0,0,0
"A12-06","6",0,0,0,0,0,0,0,0
"A16-01","1",0,0,0,0,0,0,0,0
"A16-01","2",0,0,0,0,0,0,0,0
"A16-01","3",0,0,0,0,0,0,0,0
"A16-01","4",0,0,0,0,0,0,0,0
"A16-01","6",0,0,0,0,0,0,0,0
"A16-01","7",0,1,0,0,0,1,0,0
"A16-02","1",0,0,0,0,0,0,0,1
"A16-02","2",0,0,0,0,0,0,0,0
"A16-02","3",0,0,0,0,0,0,0,0
"A16-02","4",0,0,0,0,0,0,0,0
"A16-02","5",0,0,0,0,0,0,0,0
"A16-02","6",0,0,NA,NA,NA,NA,0,1
"A16-03","1",0,NA,NA,NA,NA,NA,NA,NA
"A16-03","2",0,NA,NA,NA,NA,NA,NA,NA
"A16-03","3",0,NA,NA,NA,NA,NA,NA,NA
"A16-03","4",0,NA,NA,NA,NA,NA,NA,NA
"A16-03","5",0,NA,NA,NA,NA,NA,NA,NA
"A16-03","6",0,NA,NA,NA,NA,NA,NA,NA
"A16-04","1",1,NA,NA,NA,NA,NA,NA,NA
"A16-04","10",1,NA,NA,NA,NA,NA,NA,NA
"A16-04","2",0,NA,NA,NA,NA,NA,NA,NA
"A16-04","3",0,NA,NA,NA,NA,NA,NA,NA
"A16-04","4",0,NA,NA,NA,NA,NA,NA,NA
"A16-04","6",0,NA,NA,NA,NA,NA,NA,NA
"A16-04","7",0,NA,NA,NA,NA,NA,NA,NA
"A16-04","8",0,NA,NA,NA,NA,NA,NA,NA
"A16-04","9",0,NA,NA,NA,NA,NA,NA,NA
"A16-05","1",0,NA,NA,NA,NA,NA,NA,NA
"A16-05","2",0,NA,NA,NA,NA,NA,NA,NA
"A16-05","3",1,NA,NA,NA,NA,NA,NA,NA
"A16-05","4",0,NA,NA,NA,NA,NA,NA,NA
"A16-05","5",0,NA,NA,NA,NA,NA,NA,NA
"A16-05","6",0,NA,NA,NA,NA,NA,NA,NA
"A16-05","7",0,NA,NA,NA,NA,NA,NA,NA
"A16-05","8",1,NA,NA,NA,NA,NA,NA,NA
"A16-05","9",0,NA,NA,NA,NA,NA,NA,NA
"A17-01","1",0,0,0,0,0,0,0,0
"A17-01","10",0,0,0,0,0,0,0,0
"A17-01","2",0,0,0,0,0,0,0,0
"A17-01","4",0,0,0,0,0,0,0,0
"A17-01","5",0,0,0,0,0,0,0,0
"A17-01","8",0,0,0,0,0,0,0,0
"A17-01","9",0,0,0,0,0,0,0,0
"A17-02","1",0,NA,NA,NA,NA,NA,NA,NA
"A17-02","10",0,NA,NA,NA,NA,NA,NA,NA
"A17-02","2",0,NA,NA,NA,NA,NA,NA,NA
"A17-02","3",0,NA,NA,NA,NA,NA,NA,NA
"A17-02","4",0,NA,NA,NA,NA,NA,NA,NA
"A17-02","5",0,NA,NA,NA,NA,NA,NA,NA
"A17-02","6",0,NA,NA,NA,NA,NA,NA,NA
"A17-02","7",0,NA,NA,NA,NA,NA,NA,NA
"A17-02","8",0,NA,NA,NA,NA,NA,NA,NA
"A17-02","9",0,NA,NA,NA,NA,NA,NA,NA
"A17-03","1",NA,NA,1,0,0,0,1,0
"A17-03","2",NA,NA,0,0,0,0,0,1
"A17-03","3",NA,NA,0,1,0,0,0,0
"A17-03","4",NA,NA,0,0,0,0,0,0
"A17-03","5",NA,NA,0,0,0,0,0,0
"A17-03","6",NA,NA,0,1,0,0,1,0
"A17-04","1",0,0,0,0,0,0,0,NA
"A17-04","10",0,0,0,0,0,0,0,NA
"A17-04","11",NA,NA,NA,NA,NA,NA,0,NA
"A17-04","2",0,0,0,0,0,0,0,NA
"A17-04","3",0,0,0,0,0,0,0,NA
"A17-04","4",0,0,0,0,0,0,NA,NA
"A17-04","5",0,0,0,0,0,0,0,NA
"A17-04","6",0,0,0,0,0,0,0,NA
"A17-04","7",0,0,0,0,0,0,0,NA
"A17-04","8",0,0,0,0,0,0,0,NA
"A17-04","9",0,0,0,0,0,0,0,NA
