"site","2015","2016","2017","2018","2019","2020","2021","2022"
"A39-03",NA,0,0,0,NA,NA,NA,NA
"A39-04",NA,0,0,0,0,0,NA,0
"A39-07",0,0,0,0,NA,NA,NA,NA
"A40-01",NA,NA,NA,0,0,0,0,0
"A40-02",NA,NA,NA,0,NA,0,0,0
"A40-03",NA,NA,NA,0,NA,NA,0,0
"A40-05",NA,NA,0,0,0,0,0,0
"A40-06",NA,NA,0,0,0,0,0,0
"A40-09",NA,NA,NA,NA,NA,NA,0,NA
"A40-10",0,0,0,NA,NA,0,0,0
"A40-11",0,0,0,NA,0,0,0,0
"A40-12",0,0,0,0,0,0,0,0
"A41-01",0,0,0,0,0,0,0,0
"A41-02",0,0,0,0,0,0,0,0
"A41-05",NA,NA,NA,NA,NA,0,NA,NA
"B06-01",1,0,NA,NA,NA,2,0,0
"B06-02",NA,NA,NA,NA,NA,NA,NA,0
"B10-01",0,0,0,0,0,0,0,0
"B10-02",0,0,0,0,0,0,0,0
"B10-03",NA,NA,NA,0,NA,NA,NA,NA
"B11-01",0,1,0,1,0,1,0,0
"B13-01",0,NA,NA,0,0,0,0,0
"B13-02",0,0,NA,0,0,0,0,0
"B13-03",0,0,NA,0,1,0,0,1
"B14-01",0,0,0,0,0,0,0,0
"B14-02",1,1,0,0,1,0,1,2
"B14-03",0,0,0,0,0,1,0,1
"B14-04",0,0,0,0,0,0,0,0
"B14-05",NA,NA,NA,NA,NA,NA,NA,0
"B16-01",0,NA,NA,NA,NA,NA,NA,NA
"B16-02",0,NA,NA,NA,NA,NA,NA,NA
"B17-01",NA,NA,NA,NA,NA,NA,NA,1
"B21-01",1,1,0,1,1,0,1,1
"B28-01",0,0,0,0,0,0,0,0
"B28-04",NA,NA,0,0,NA,NA,NA,0
"B29-01",NA,NA,NA,NA,NA,0,0,0
"B29-02",0,0,0,0,0,0,0,NA
"B30-01",0,0,0,0,0,0,0,0
"B30-02",0,1,0,0,0,0,0,0
"B30-04",0,1,0,0,0,0,0,0
"B32-01",0,0,0,0,0,0,NA,NA
"B32-02",0,0,0,0,0,0,NA,NA
"B32-03",NA,NA,NA,0,1,0,NA,0
"B32-04",NA,NA,NA,0,0,0,NA,NA
"B32-05",0,NA,NA,NA,NA,0,0,NA
"B33-01",1,0,1,0,0,1,0,0
"B33-02",0,0,NA,NA,NA,NA,NA,NA
"B36-02",NA,NA,NA,NA,NA,0,0,0
"B37-01",NA,NA,NA,0,0,0,0,0
"B37-02",0,0,0,0,1,0,0,0
"B37-03",NA,NA,NA,NA,NA,1,0,1
"B38-01",0,0,0,0,0,0,0,0
"B38-02",NA,NA,NA,NA,NA,1,0,NA
"B38-03",NA,NA,NA,NA,NA,0,0,NA
"B38-04",NA,NA,NA,NA,NA,0,0,NA
"B38-07",1,1,2,1,0,0,0,1
"B38-08",0,1,0,1,2,1,0,0
"C14-01",0,1,0,1,0,0,1,0
"C14-02",1,1,0,0,0,0,0,0
"C14-03",0,0,0,0,0,0,0,0
"C14-04",0,0,0,0,0,1,0,0
"C30-01",0,0,0,0,0,0,0,0
"C30-02",0,1,0,0,0,0,0,0
"C37-01",1,0,1,0,1,0,NA,0
"C37-02",0,1,1,0,0,1,NA,0
"C37-03",0,0,0,0,0,0,NA,0
"C37-04",0,0,0,1,0,0,0,1
"C37-05",0,0,0,1,1,0,0,0
