"transect","Site_N","Year","Macaca_sur","elevation","edge","P_forest","P_farmland","Shannon","edge_length"
"A37-07-4","A37-07",2015,0,-0.505647354150224,1.03269474248381,-0.299924739031679,-0.494465891102436,0.519781421225178,0.347657641370917
"B33-02-9","B33-02",2015,0,0.233549826680137,NA,0.55048723404754,-0.493709663505102,-0.118459645956347,NA
"A19-03-7","A19-03",2015,0,-0.704081969339837,-0.219337192473714,-0.508153357957193,-0.494465891102436,0.700183699928124,0.0222237526143156
"B16-01-3","B16-01",2015,0,1.56306959742611,NA,0.743129315067393,-0.494465891102436,-0.453826774160028,NA
"C14-01-4","C14-01",2015,0,2.76359884869337,NA,0.644531316873232,0.472685077097203,-0.490342701090721,NA
"B16-02-4","B16-02",2015,0,1.86179705736973,NA,0.370341786289209,-0.494465891102436,0.21465535860926,NA
"A28-09-1","A28-09",2015,0,-0.671278939133851,0.867472962766941,-0.839956464251793,1.09965036479671,1.96611776215955,2.08717127428238
"A33-12-4","A33-12",2015,0,-0.764002300103144,0.332214988808371,-1.79167179981481,-0.494465891102436,0.00965285830027834,1.31027496843556
"A17-09-1","A17-09",2015,0,-0.74859521607849,0.151181983743819,-0.775046810232582,1.84261237312467,1.33733783113302,0.270890223420162
"B30-04-9","B30-04",2015,0,1.6458023500315,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"A19-05-9","A19-05",2015,0,-0.720076816505853,-0.301854831827507,-1.79167179981481,4.79689119026719,-0.0528328872375489,-0.0341826843441854
"A09-20-6","A09-20",2015,0,-0.705315054776717,1.15809512124704,-1.3521251262317,1.98726235950795,2.02559434967181,1.57622284642041
"B14-04-4","B14-04",2015,0,1.47663986357548,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"A35-04-1","A35-04",2015,0,-0.774008947677997,-0.0968932657223903,-1.79167179981481,-0.399909567019918,-0.12596779514731,1.54910486934053
"A09-04-2","A09-04",2016,0,-0.698190687533935,-0.12163025368586,-0.0881977881968069,-0.494465891102436,0.7000559630771,-0.146302846045701
"B33-02-10","B33-02",2016,0,0.189552337263514,NA,0.090033747207045,0.839053047689563,0.765648429395676,NA
"A19-04-6","A19-04",2016,0,-0.664725613301875,-0.251659357973425,-1.79167179981481,1.8665226466168,1.12437093825153,1.03582649950627
"A09-01-6","A09-01",2016,0,-0.365637555495259,-0.561154362058174,1.07542703798206,-0.494465891102436,-1.46838787453833,-1.17450771219043
"A19-02-1","A19-02",2016,0,-0.601008994689401,-0.219014236313437,-1.10905901593183,0.459930940526167,1.90993357266218,0.78539912371916
"C14-04-6","C14-04",2016,0,2.01443119382773,NA,-0.39079717137135,0.166168663414924,1.36933205077366,NA
"A04-03-8","A04-03",2016,0,-0.314879709296927,0.524123704129319,0.555809604479342,-0.494465891102436,-0.0194670530532092,0.215376628714274
"A28-13-4","A28-13",2016,0,-0.336487142759586,8.87810642829818,-0.941360188622513,0.391005427987816,1.48056191536865,1.39363556609887
"A24-01-7","A24-01",2016,0,-0.731441109347232,0.4579571743751,-0.974580084854594,0.515247974752996,1.95997007700455,1.57099951765704
"A29-08-7","A29-08",2016,0,-0.647440804064439,0.756683334150329,-1.79167179981481,0.920799730906399,1.17889936303587,2.64178627099132
"A04-06-7","A04-06",2016,0,-0.359450515189737,0.523012678148975,0.702096596286608,-0.494465891102436,-0.267443170810235,-0.264737801001451
"A26-01-5","A26-01",2016,0,-0.672694029801266,-0.330156229039932,-0.0887037172766725,-0.494465891102436,0.644195862250836,-0.258768107999929
"A09-04-10","A09-04",2016,0,-0.763036193588807,-0.102785012062415,-1.74730688291991,-0.465392893294548,1.17702940417497,2.02459982123465
"A32-02-4","A32-02",2016,0,0.0911295962532648,-0.538976422253423,0.78577338081948,-0.494465891102436,-0.550086727860354,-0.6793449414652
"A33-08-5","A33-08",2016,0,-0.625936886076646,-0.50489670986687,0.310322291169933,0.931354930878846,0.225677066294173,-0.314163217579099
"A22-08-1","A22-08",2016,0,-0.598272091035221,2.44700190508674,-1.78461671197688,0.711790023434465,0.481520569536164,0.0979864856650568
"A16-02-6","A16-02",2016,0,-0.436677609571413,-0.490448243060488,-0.788313927318465,-0.494465891102436,1.06908900507113,-1.03267066254984
"A33-09-10","A33-09",2016,0,-0.743292948699909,-0.00957242663031248,-1.79167179981481,1.41934253917112,1.20463034739283,1.28857867750375
"A28-09-5","A28-09",2016,0,-0.70723748502425,0.0751641010461401,0.719340094119723,-0.494465891102436,-0.425285701977241,-0.303155889606348
"A10-02-1","A10-02",2016,0,-0.100904122484947,0.00692392004744418,0.398458455196509,-0.494465891102436,0.172947969317567,0.298432583584324
"A28-12-3","A28-12",2016,0,-0.36162775276002,5.11731066513609,-1.49670013197327,-0.466070752989823,0.938137728563723,1.7622566851503
"A09-24-1","A09-24",2016,0,-0.754928884347864,0.35547539430333,-1.79167179981481,-0.494465891102436,0.12647171457831,0.972654101724641
"A33-03-6","A33-03",2016,0,-0.717182933340335,0.465197352981418,-1.79167179981481,2.01416522183775,0.542631857842196,1.06672148017385
"A36-16-7","A36-16",2016,0,-0.708120210392348,-0.380136466174087,-0.0267007119064975,-0.401335824729908,0.797689233976759,-0.110130270696005
"A10-01-5","A10-01",2016,0,-0.644114658476399,0.934157161976646,0.226789847655471,-0.447830610182189,0.69781214467556,1.12881613022396
"A22-07-2","A22-07",2016,0,-0.586747747344239,1.91955440314944,-1.7483776410596,-0.494465891102436,-0.346054301653262,1.01345405927847
"A28-14-7","A28-14",2016,0,-0.239808239364407,1.49135623533199,-1.172490623235,-0.494465891102436,0.594770075967543,0.623717030496974
"A20-04-2","A20-04",2016,0,-0.0519595033958258,-0.665460688623728,1.07542703798206,-0.494465891102436,-1.46838787453833,-1.38680511467081
"A37-07-7","A37-07",2016,0,-0.475737069577064,1.13532311417375,-0.953592491798014,0.140159751523801,1.26512215222939,1.0366676262435
