Altitude,S_all_X,S_all_Y
0.00000,120.25573,23.21402
4.00000,120.25694,23.20702
4.00000,120.25747,23.20385
5.00000,120.26001,23.20385
4.00000,120.25754,23.20137
3.00000,120.25436,23.20309
4.00000,120.25356,23.20131
5.00000,120.25566,23.19962
4.00000,120.2526,23.19833
4.00000,120.25171,23.20134
79.00000,120.47458,23.47857
59.00000,120.46806,23.48147
61.00000,120.47036,23.48333
38.00000,120.46389,23.48389
39.00000,120.46363,23.4805
45.00000,120.46456,23.4785
369.00000,120.93143,23.79085
371.00000,120.9343,23.78908
373.00000,120.93746,23.79132
392.00000,120.9386,23.79447
379.00000,120.94184,23.79335
390.00000,120.94615,23.7917
381.00000,120.94374,23.79263
415.00000,120.94718,23.79353
319.00000,121.52035,25.15196
382.00000,121.51999,25.15423
518.00000,121.51794,25.15566
604.00000,121.51733,25.15794
614.00000,121.51478,25.15707
535.00000,121.51227,25.15628
432.00000,121.51143,25.15391
342.00000,121.513,25.15208
286.00000,121.51344,25.15008
2.00000,120.48194,24.16775
3.00000,120.48356,24.16939
4.00000,120.48428,24.17167
4.00000,120.48216,24.17272
5.00000,120.48272,24.17439
4.00000,120.48792,24.17355
3.00000,120.48739,24.17186
4.00000,120.48939,24.17025
4.00000,120.48853,24.1662
3.00000,120.48698,24.16886
2034.00000,121.11709,24.50526
2036.00000,121.12017,24.50452
2038.00000,121.12355,24.50258
2018.00000,121.12601,24.49917
2001.00000,121.12882,24.4997
1985.00000,121.12963,24.50171
1989.00000,121.13311,24.50437
1988.00000,121.1334,24.5027
635.00000,121.58289,24.76075
639.00000,121.58519,24.75978
647.00000,121.58769,24.75958
646.00000,121.58975,24.76028
636.00000,121.59247,24.75911
624.00000,121.59214,24.75703
623.00000,121.59467,24.75575
600.00000,121.59711,24.75486
93.00000,120.93664,22.53117
129.00000,120.93412,22.52845
154.00000,120.93176,22.52736
158.00000,120.92952,22.52791
139.00000,120.92751,22.52813
105.00000,120.92649,22.52574
106.00000,120.9236,22.52509
84.00000,120.92059,22.52284
84.00000,120.91977,22.5208
93.00000,120.91795,22.51936
121.00000,120.84087,24.495
135.00000,120.84253,24.49244
147.00000,120.84331,24.49049
232.00000,120.84624,24.48847
240.00000,120.84782,24.48744
260.00000,120.85029,24.48614
195.00000,120.9238,24.54434
205.00000,120.9248,24.54239
210.00000,120.92664,24.54036
228.00000,120.92879,24.54056
241.00000,120.93099,24.54036
280.00000,120.93336,24.53909
62.00000,120.83275,24.53706
63.00000,120.83406,24.53524
65.00000,120.83377,24.53296
65.00000,120.8362,24.53066
71.00000,120.83896,24.52995
80.00000,120.84162,24.53078
126.00000,120.84432,24.53236
40.00000,120.52417,23.70111
34.00000,120.51944,23.7025
39.00000,120.51917,23.69833
33.00000,120.51381,23.70461
35.00000,120.51639,23.70381
36.00000,120.51111,23.70306
88.00000,120.67342,23.98461
87.00000,120.67084,23.98694
86.00000,120.66772,23.98872
85.00000,120.66936,23.99158
88.00000,120.67289,23.98911
84.00000,120.669,23.99598
86.00000,120.67275,23.99683
90.00000,120.67625,23.99448
92.00000,120.67756,23.99075
91.00000,120.67639,23.98642
132.00000,120.69506,23.97281
146.00000,120.7015,23.97452
165.00000,120.70131,23.9717
179.00000,120.69823,23.97036
290.00000,120.6983,23.96748
251.00000,120.70069,23.96822
156.00000,120.70731,23.97311
147.00000,120.70589,23.97633
144.00000,120.70347,23.97659
142.00000,120.69803,23.97739
1206.00000,121.48692,24.62412
1204.00000,121.48644,24.62654
1186.00000,121.489,24.63207
1180.00000,121.48476,24.63234
1222.00000,121.48171,24.63157
1211.00000,121.47924,24.63462
1212.00000,121.48098,24.63828
1223.00000,121.48309,24.64139
1197.00000,121.48297,24.64421
16.00000,120.31644,22.73213
14.00000,120.31649,22.73497
5.00000,120.31378,22.73588
14.00000,120.31277,22.73304
13.00000,120.31038,22.73612
39.00000,120.30907,22.73292
42.00000,120.30586,22.73166
28.00000,120.3044,22.73382
62.00000,120.56138,24.04894
64.00000,120.56165,24.04255
76.00000,120.56447,24.04117
127.00000,120.56957,24.04132
117.00000,120.56809,24.04632
88.00000,120.56705,24.04375
69.00000,120.56271,24.0444
78.00000,120.67256,24.0059
76.00000,120.66916,24.00745
75.00000,120.66884,24.01057
75.00000,120.66678,24.01692
79.00000,120.66929,24.01518
76.00000,120.67179,24.01375
79.00000,120.67425,24.01185
78.00000,120.67289,24.0104
83.00000,120.67741,24.01002
84.00000,120.6807,24.01193
