Altitude,S_all_X,S_all_Y
1,120.34292,23.98964
2,120.34108,23.98967
2,120.3393,23.98953
1,120.33753,23.98953
1,120.33569,23.98944
1,120.33384,23.98939
1,120.33208,23.98933
1,120.32919,23.98519
0,120.32758,23.981
1,120.32611,23.97692
65,120.58778,23.81417
68,120.59278,23.81107
65,120.58672,23.81263
66,120.58973,23.81084
62,120.5825,23.81389
62,120.58277,23.8121
62,120.58611,23.80972
63,120.58452,23.808
61,120.58235,23.80842
64,120.58777,23.8075
28,120.55333,23.92333
27,120.56028,23.92236
28,120.55736,23.92519
27,120.55556,23.9275
28,120.55735,23.92991
28,120.55939,23.9273
28,120.56014,23.93083
27,120.55242,23.92806
26,120.55183,23.93139
27,120.55178,23.92535
229,120.56691,22.96975
216,120.56922,22.97285
244,120.56952,22.97049
277,120.57117,22.96924
378,120.57357,22.96944
448,120.57484,22.96737
12,120.35248,22.62223
12,120.35605,22.62201
13,120.35474,22.6238
13,120.35557,22.6256
13,120.35644,22.62803
13,120.35618,22.63081
370,121.57883,25.10568
371,121.57733,25.10544
351,121.57595,25.10399
338,121.57446,25.10249
320,121.57294,25.10213
284,121.57117,25.10099
248,121.56965,25.09976
245,121.5679,25.0992
224,121.56636,25.09823
223,121.56472,25.09774
293,121.56849,25.10614
319,121.56734,25.10495
392,121.57003,25.10426
396,121.57149,25.10525
405,121.57521,25.10588
353,121.56921,25.10262
451,121.57333,25.10624
922,120.69347,23.60681
930,120.69257,23.60476
954,120.68992,23.60244
976,120.69206,23.60269
1052,120.69411,23.60133
1074,120.69628,23.60269
1171,120.70383,23.60203
0,121.81233,24.66356
0,121.81581,24.65987
0,121.81433,24.65827
0,121.80961,24.66272
0,121.80786,24.65805
0,121.8019,24.66856
0,121.80393,24.66699
0,121.81003,24.65269
0,121.80561,24.65296
0,121.81367,24.65307
107,121.47073,25.18388
144,121.47801,25.18369
151,121.47772,25.18138
198,121.47476,25.18143
153,121.47296,25.17747
124,121.46924,25.17847
78,120.98344,24.79236
119,120.98527,24.79143
124,120.98534,24.79304
109,120.98718,24.79078
99,120.98871,24.7921
73,120.98674,24.79439
45,120.98722,24.79717
88,121.24694,25.01004
89,121.24295,25.00695
87,121.24119,25.01107
89,121.23969,25.01398
86,121.23449,25.00964
86,121.23816,25.01089
7,121.74682,24.75592
7,121.74949,24.75491
6,121.75335,24.75285
6,121.75477,24.75462
6,121.75663,24.7545
4,121.75819,24.75082
4,121.75371,24.74563
4,121.75446,24.74384
4,121.75256,24.74338
4,121.75185,24.74515
4,121.75006,24.74468
4,121.75365,24.7404
4,121.75526,24.74201
10,121.74486,24.75774
10,121.7442,24.76009
6,121.74968,24.76203
5,121.75042,24.76556
5,121.75773,24.76398
5,121.76074,24.76211
7,120.46798,24.05592
6,120.4692,24.0575
7,120.46915,24.06009
8,120.47193,24.05945
8,120.47396,24.05822
8,120.47611,24.0573
8,120.47789,24.0565
8,120.48205,24.05641
7,120.47259,24.05526
769,120.88889,23.59869
766,120.88905,23.59649
757,120.88945,23.59409
792,120.89285,23.59199
811,120.89602,23.58909
801,120.88702,23.5914
823,120.88614,23.59437
852,120.88544,23.59639
11,121.72305,24.72748
13,121.72109,24.72601
14,121.7191,24.72527
15,121.71698,24.72454
16,121.71586,24.72212
18,121.71414,24.72105
19,121.71238,24.72007
20,121.71237,24.71811
22,121.71069,24.71698
635,121.37583,24.69111
636,121.37805,24.68972
673,121.37805,24.68639
670,121.3775,24.68306
690,121.37361,24.68194
675,121.37306,24.67917
659,121.37028,24.6775
671,121.36833,24.67444
674,121.36583,24.67417
691,121.36354,24.67678
114,121.29794,24.96827
116,121.29885,24.96647
118,121.29677,24.96447
121,121.29752,24.96273
121,121.2954,24.96181
120,121.29305,24.96193
116,121.29464,24.9656
47,121.54413,24.99057
77,121.54604,24.99193
138,121.54835,24.99247
111,121.5505,24.99377
107,121.5525,24.99337
86,121.5545,24.99145
31,121.5548,24.9894
61,120.91107,24.5897
62,120.91397,24.58808
55,120.91653,24.58734
109,120.91941,24.58741
117,120.92237,24.58804
135,120.92558,24.58727
104,120.90022,24.58649
152,120.90272,24.58525
152,120.90447,24.58375
174,120.90606,24.58098
171,120.90876,24.58014
198,120.91103,24.58103
204,120.91298,24.57986
128,120.39809,22.98144
130,120.3979,22.97945
101,120.39896,22.97773
109,120.39835,22.98359
103,120.40048,22.98477
132,120.40224,22.9828
108,120.40154,22.98033
97,120.40258,22.97835
93,120.40124,22.97639
114,120.39979,22.98074
960,120.60942,23.56056
936,120.61164,23.56232
922,120.61496,23.56386
899,120.61693,23.5663
912,120.62009,23.56349
860,120.61686,23.56452
826,120.61646,23.56292
901,120.61275,23.56094
883,120.61549,23.56104
303,121.25717,24.81068
310,121.26129,24.80951
318,121.26119,24.81398
332,121.27178,24.81835
391,121.26931,24.82061
309,121.28234,24.81962
242,121.28742,24.82336
189,120.44594,22.9732
274,120.44325,22.97471
284,120.44128,22.97209
298,120.44062,22.97066
305,120.43982,22.96901
318,120.43871,22.96675
325,120.43771,22.96464
0,120.25573,23.21402
4,120.25694,23.20702
4,120.25747,23.20385
5,120.26001,23.20385
4,120.25754,23.20137
3,120.25436,23.20309
4,120.25356,23.20131
5,120.25566,23.19962
4,120.2526,23.19833
4,120.25171,23.20134
71,120.47458,23.47857
59,120.46806,23.48147
66,120.47036,23.48333
38,120.46389,23.48389
40,120.46363,23.4805
46,120.46456,23.4785
369,120.93143,23.79085
371,120.9343,23.78908
373,120.93746,23.79132
391,120.9386,23.79447
379,120.94184,23.79335
390,120.94615,23.7917
381,120.94374,23.79263
415,120.94718,23.79353
319,121.52035,25.15196
382,121.51999,25.15423
518,121.51794,25.15566
594,121.51733,25.15794
614,121.51478,25.15707
535,121.51227,25.15628
432,121.51143,25.15391
339,121.513,25.15208
286,121.51344,25.15008
2,120.48194,24.16775
3,120.48356,24.16939
4,120.48428,24.17167
4,120.48216,24.17272
4,120.48272,24.17439
4,120.48792,24.17355
4,120.48739,24.17186
4,120.48939,24.17025
2,120.48853,24.1662
3,120.48698,24.16886
2034,121.11709,24.50526
2036,121.12017,24.50452
2032,121.12355,24.50258
2029,121.12601,24.49917
2003,121.12882,24.4997
1985,121.12963,24.50171
1992,121.13311,24.50437
1988,121.1334,24.5027
636,121.58289,24.76075
639,121.58519,24.75978
647,121.58769,24.75958
647,121.58975,24.76028
636,121.59247,24.75911
618,121.59214,24.75703
623,121.59467,24.75575
600,121.59711,24.75486
93,120.93664,22.53117
138,120.93412,22.52845
154,120.93176,22.52736
164,120.92952,22.52791
139,120.92751,22.52813
105,120.92649,22.52574
106,120.9236,22.52509
80,120.92059,22.52284
88,120.91977,22.5208
93,120.91795,22.51936
121,120.84087,24.495
135,120.84253,24.49244
147,120.84331,24.49049
221,120.84624,24.48847
240,120.84782,24.48744
257,120.85029,24.48614
195,120.9238,24.54434
205,120.9248,24.54239
210,120.92664,24.54036
224,120.92879,24.54056
241,120.93099,24.54036
276,120.93336,24.53909
62,120.83275,24.53706
63,120.83406,24.53524
65,120.83377,24.53296
65,120.8362,24.53066
71,120.83896,24.52995
80,120.84162,24.53078
126,120.84432,24.53236
40,120.52417,23.70111
35,120.51944,23.7025
39,120.51917,23.69833
33,120.51381,23.70461
35,120.51639,23.70381
36,120.51111,23.70306
90,120.67342,23.98461
88,120.67084,23.98694
86,120.66772,23.98872
81,120.66936,23.99158
88,120.67289,23.98911
84,120.669,23.99598
86,120.67275,23.99683
90,120.67625,23.99448
92,120.67756,23.99075
91,120.67639,23.98642
132,120.69506,23.97281
146,120.7015,23.97452
165,120.70131,23.9717
182,120.69823,23.97036
288,120.6983,23.96748
246,120.70069,23.96822
156,120.70731,23.97311
150,120.70589,23.97633
144,120.70347,23.97659
141,120.69803,23.97739
1206,121.48692,24.62412
1222,121.48644,24.62654
1188,121.489,24.63207
1195,121.48476,24.63234
1221,121.48171,24.63157
1211,121.47924,24.63462
1212,121.48098,24.63828
1208,121.48309,24.64139
1197,121.48297,24.64421
15,120.31644,22.73213
14,120.31649,22.73497
5,120.31378,22.73588
14,120.31277,22.73304
12,120.31038,22.73612
39,120.30907,22.73292
42,120.30586,22.73166
31,120.3044,22.73382
61,120.56138,24.04894
64,120.56165,24.04255
76,120.56447,24.04117
127,120.56957,24.04132
117,120.56809,24.04632
88,120.56705,24.04375
69,120.56271,24.0444
78,120.67256,24.0059
76,120.66916,24.00745
75,120.66884,24.01057
75,120.66678,24.01692
79,120.66929,24.01518
76,120.67179,24.01375
80,120.67425,24.01185
78,120.67289,24.0104
83,120.67741,24.01002
84,120.6807,24.01193
568,120.84453,23.69034
612,120.84136,23.6905
632,120.84011,23.68885
658,120.83878,23.6865
688,120.83855,23.68926
717,120.83876,23.69212
787,120.83644,23.69155
812,120.8344,23.69101
891,120.8333,23.68891
933,120.83198,23.69164
937,120.83083,23.69384
952,120.8298,23.6955
925,120.82891,23.69741
951,120.82624,23.6987
304,120.80835,23.84092
341,120.80728,23.843
412,120.80889,23.84682
435,120.81116,23.84713
492,120.81221,23.8521
517,120.81333,23.85492
461,120.80989,23.85117
402,120.8039,23.85184
346,120.80246,23.84887
310,120.80137,23.84635
1730,121.44235,24.72456
1727,121.44263,24.72733
1685,121.44113,24.72956
1712,121.43932,24.73066
1671,121.43984,24.73232
1634,121.44162,24.73406
1600,121.44299,24.73619
1554,121.44733,24.73758
1531,121.44976,24.73919
1490,121.42795,24.70913
1505,121.42923,24.7107
1529,121.43165,24.71002
1582,121.43353,24.71066
1568,121.43523,24.70978
1561,121.43667,24.70929
1575,121.43752,24.71027
1592,121.43983,24.71016
1638,121.43856,24.71162
1658,121.43716,24.71319
2673,121.22621,24.11304
2686,121.22843,24.11395
2711,121.23034,24.1157
2728,121.23239,24.11635
2742,121.23512,24.11742
2756,121.23743,24.11751
2779,121.23915,24.11912
2786,121.24106,24.12076
2791,121.24347,24.12062
2796,121.24504,24.11872
2564,121.30825,24.18223
2525,121.30925,24.18434
2548,121.31049,24.18577
2610,121.31142,24.18746
2598,121.31339,24.18731
2597,121.31459,24.18881
2594,121.31395,24.19052
2570,121.31553,24.19179
2583,121.31736,24.19225
2581,121.31686,24.19429
2849,121.25424,24.11779
2869,121.25716,24.11894
2881,121.2596,24.1195
2919,121.26241,24.11967
2986,121.26638,24.12162
3006,121.26882,24.12062
3028,121.2712,24.12132
3089,121.27267,24.12307
3073,121.27354,24.12128
3046,121.275,24.12002
1248,120.69344,23.47525
1216,120.68953,23.47553
1164,120.69244,23.47261
1106,120.68806,23.47436
1063,120.68414,23.47378
1008,120.68281,23.47753
974,120.68497,23.48078
950,120.68544,23.484
911,120.67489,23.47969
905,120.67478,23.47808
376,120.64649,23.17094
382,120.64888,23.17523
379,120.65027,23.17822
404,120.65169,23.18637
409,120.65435,23.19027
423,120.65219,23.19673
444,120.66025,23.19835
599,120.49874,23.26241
594,120.49955,23.26065
600,120.50069,23.25943
607,120.50001,23.25785
641,120.50237,23.2607
610,120.50436,23.26071
637,120.50619,23.26187
670,120.50814,23.26357
26,120.61811,24.10518
26,120.6173,24.10316
26,120.61382,24.10261
30,120.61935,24.10218
27,120.62296,24.10069
28,120.62551,24.09983
28,120.62824,24.10082
27,120.62678,24.10252
561,120.86416,24.18972
554,120.8625,24.18972
538,120.86111,24.19056
525,120.85945,24.19111
498,120.85667,24.19278
503,120.85667,24.19444
523,120.85555,24.19555
544,120.85666,24.19666
558,120.85666,24.19806
511,120.85806,24.19166
9,120.257,22.9378
8,120.25756,22.93584
8,120.25729,22.93321
8,120.25877,22.93125
8,120.25662,22.92792
9,120.26004,22.93508
10,120.26085,22.93322
7,120.25871,22.92916
84,121.47296,23.83731
88,121.47118,23.83864
163,121.46939,23.84004
245,121.46761,23.83801
325,121.46665,23.83475
344,121.46534,23.83642
399,121.4648,23.83379
449,120.86179,23.84768
378,120.86536,23.8435
417,120.85941,23.84069
375,120.86418,23.83634
311,120.86404,23.82637
299,120.86107,23.82594
285,120.85761,23.82295
323,120.86604,23.83199
617,120.86022,23.8537
675,120.85809,23.85517
757,120.85651,23.8559
805,120.85483,23.85836
867,120.85395,23.86052
922,120.85126,23.86253
1002,120.85042,23.86568
1237,121.15949,24.02886
1216,121.15608,24.0278
1191,121.16175,24.02951
1182,121.16436,24.03004
1167,121.16649,24.03043
1165,121.16916,24.03054
1149,121.17169,24.02986
1266,121.16016,24.03164
1301,121.16271,24.03269
1328,121.16032,24.03371
449,121.52893,24.88814
421,121.53149,24.88892
401,121.53297,24.89014
395,121.53315,24.89186
354,121.53305,24.89431
333,121.53503,24.894
328,121.53942,24.89717
369,121.53941,24.89999
388,121.54383,24.90209
340,121.54341,24.90341
19,121.68876,25.11066
33,121.68625,25.11135
46,121.68086,25.11569
57,121.68092,25.12121
57,121.67965,25.12441
70,121.67382,25.13306
228,121.29895,24.84769
249,121.30133,24.84755
337,121.30399,24.84746
283,121.30616,24.84696
298,121.30856,24.84725
331,121.31074,24.8467
2252,121.18748,24.10156
2287,121.1917,24.10174
2279,121.19561,24.10454
2319,121.1999,24.10979
2197,121.19709,24.10788
2082,121.19521,24.11226
2020,121.19198,24.11499
2190,121.19833,24.11228
2188,121.19333,24.10576
2203,121.18914,24.10284
2085,121.17478,24.09132
2106,121.17294,24.0892
2122,121.17111,24.08726
2111,121.17089,24.08518
2102,121.16936,24.08318
2085,121.16765,24.08129
2072,121.16849,24.07939
2041,121.16878,24.07758
2040,121.1688,24.07571
2029,121.16867,24.07361
338,121.56917,24.89228
307,121.56848,24.8944
293,121.56687,24.89554
260,121.56529,24.89713
238,121.56793,24.89728
189,121.56728,24.8993
166,121.56557,24.90122
132,121.56204,24.90157
57,121.55976,24.90344
60,121.55675,24.90459
25,121.54719,24.95143
24,121.54892,24.95014
24,121.55065,24.95219
28,121.55362,24.95146
31,121.55571,24.95289
41,121.5591,24.95419
41,121.56217,24.9535
46,121.56428,24.95301
1,121.76254,25.1602
1,121.76276,25.16165
4,121.76444,25.16227
12,121.76535,25.16282
5,121.76545,25.16154
15,121.65235,25.06107
20,121.6529,25.05865
33,121.6529,25.05688
42,121.65255,25.05488
82,121.65042,25.05548
86,121.65049,25.05352
5,120.28671,22.6556
7,120.2848,22.65686
5,120.28269,22.65667
6,120.28372,22.6589
6,120.28501,22.66084
5,120.28784,22.65986
4,120.28587,22.65912
4,120.28745,22.65796
11,120.3447,22.64552
10,120.34111,22.64528
10,120.34047,22.64313
10,120.34213,22.64269
20,120.34828,22.65021
14,120.34816,22.64665
13,120.3494,22.64266
12,120.34644,22.64194
236,121.37931,24.89187
279,121.38191,24.89217
318,121.38127,24.88988
242,121.3837,24.89334
149,121.38021,24.89405
163,121.38027,24.89662
201,121.38217,24.89458
266,121.38415,24.89522
293,121.38623,24.89384
346,121.38852,24.89311
133,120.68514,23.87897
156,120.68106,23.87855
159,120.67883,23.88122
143,120.68203,23.88061
129,120.68517,23.88123
119,120.68697,23.88314
120,120.68517,23.88533
145,120.68131,23.88653
159,120.67961,23.88427
147,120.68228,23.88253
1623,120.77452,23.08166
1631,120.77689,23.08209
1620,120.77737,23.08628
1629,120.7795,23.08834
1624,120.78237,23.08914
1633,120.78524,23.09031
1638,120.78651,23.08872
1648,120.78711,23.08685
1642,120.78962,23.08423
1665,120.79169,23.0819
1156,120.71648,23.03981
1175,120.7173,23.04188
1194,120.718,23.0437
1223,120.71858,23.04562
1250,120.72057,23.04618
1267,120.7208,23.04799
1274,120.72165,23.04973
1307,120.72067,23.05199
1325,120.72055,23.05391
1371,120.72451,23.05634
2,121.82501,24.71979
2,121.82234,24.71913
4,121.83117,24.71794
5,121.83066,24.72015
3,121.83256,24.71657
0,121.82113,24.70514
1,121.82345,24.70629
5,121.8262,24.70613
5,121.82957,24.70401
2,121.82433,24.70093
25,121.58775,25.08656
40,121.58183,25.08997
17,121.58364,25.08867
125,121.57986,25.08892
65,121.57117,25.08944
164,121.57431,25.09206
79,121.57675,25.09264
255,121.57133,25.09322
199,121.56972,25.092
36,121.56797,25.08925
1,121.4656,25.11515
1,121.46775,25.11515
2,121.47028,25.11528
1,121.47278,25.115
1,121.47533,25.11429
2,121.47816,25.11363
1682,121.41267,24.57629
1708,121.41157,24.57805
1698,121.41119,24.5802
1674,121.41243,24.58176
1691,121.41237,24.58405
1688,121.41128,24.58654
1689,121.41068,24.58892
1702,121.41261,24.59043
1710,121.41492,24.59153
1716,121.41716,24.59131
13,120.34626,23.71349
13,120.34289,23.71393
13,120.34005,23.71424
12,120.33603,23.71249
12,120.33749,23.70919
12,120.33561,23.70834
12,120.33975,23.70781
13,120.34324,23.70744
13,120.34092,23.71027
14,120.34306,23.71139
30,120.44496,23.58147
29,120.44546,23.58391
33,120.45323,23.58319
32,120.4505,23.58053
29,120.44593,23.58621
26,120.45109,23.58783
14,120.34507,23.51762
13,120.34331,23.51693
13,120.33848,23.51649
13,120.33848,23.51879
11,120.33894,23.52169
13,120.34225,23.52157
13,120.34488,23.52146
162,121.59158,25.26769
175,121.59158,25.26544
191,121.59057,25.26346
199,121.59022,25.2615
175,121.58931,25.26614
156,121.58958,25.26847
151,121.59109,25.27022
151,121.59334,25.26929
159,121.59521,25.26764
139,121.25512,24.82072
136,121.25331,24.82257
154,121.24814,24.82316
146,121.24554,24.81885
159,121.24214,24.8133
143,121.24542,24.81322
139,121.24714,24.81512
144,121.25059,24.81824
1680,121.20666,24.15761
1683,121.20934,24.15691
1708,121.21249,24.15678
1717,121.2129,24.15874
1704,121.21753,24.16129
1731,121.21528,24.16177
1730,121.21308,24.1627
1735,121.21072,24.1635
1740,121.20819,24.16249
1775,121.20563,24.16416
38,120.52122,22.74078
37,120.51969,22.744
36,120.52325,22.73827
37,120.51973,22.73783
35,120.515,22.73725
34,120.52254,22.73417
38,120.52829,22.73644
55,121.44619,25.20588
41,121.44343,25.20572
31,121.43981,25.2051
