X,Y,NO,join_TypeName,join_FunctionTy,join_Function,join_Area_ha,distance
120.87889,24.23861,"3,135",闊葉樹林型,,經改造天然林,997.041,22.3282152651603
120.88069,24.23864,"3,136",竹林,"2211",生產性人工林,13139.1,4.69175245313412
120.84028,24.18222,"3,137",闊葉樹林型,,經改造天然林,997.041,7.40612752841862
120.83945,24.18028,"3,138",闊葉樹林型,"1100",原生林,369060,26.1145231364508
120.83834,24.17861,"3,139",闊葉樹林型,"2221",經改造天然林,17009.5,0
120.83889,24.17639,"3,140",闊葉樹林型,"2221",經改造天然林,213771,16.0963050315015
120.83806,24.17278,"3,141",闊葉樹林型,"2221",經改造天然林,46290.7,38.8822184504825
120.83584,24.17139,"3,142",闊葉樹林型,"1100",原生林,1288.05,3.7257115989816
120.84028,24.17083,"3,143",闊葉樹林型,"1100",原生林,1288.05,0
120.84361,24.16501,"3,144",闊葉樹林型,"1100",原生林,1288.05,43.109469802918
120.84278,24.16694,"3,145",闊葉樹林型,"1100",原生林,1288.05,16.6620471041695
120.8348,24.16854,"3,146",闊葉樹林型,"2221",經改造天然林,17009.5,0
121.92176,25.0123,"3,147",竹林,,生產性人工林,1597.87,0
121.92525,25.01155,"3,148",竹林,"2211",生產性人工林,9086.67,24.82059608878
121.92246,25.02021,"3,149",闊葉樹林型,"2221",經改造天然林,103298,97.1680727699077
121.92404,25.01702,"3,150",竹林,,生產性人工林,1597.87,15.9475394809626
121.92318,25.02205,"3,151",闊葉樹林型,"2221",經改造天然林,17009.5,14.9280819569514
121.92262,25.00991,"3,152",竹林,"2211",生產性人工林,9086.67,7.10073429158472
121.92738,25.02156,"3,153",闊葉樹林型,"2221",經改造天然林,17009.5,1.96872844529474
121.92406,25.01449,"3,154",闊葉樹林型,"2221",經改造天然林,213771,85.009828684783
121.9246,25.01905,"3,155",闊葉樹林型,"2211",生產性人工林,845.389,176.374186912994
121.91753,25.0158,"3,156",竹林,,生產性人工林,1597.87,5.75422424557914
120.27647,22.91693,"3,157",闊葉樹林型,,生產性人工林,0.367908,316.66691741198
120.28216,22.91742,"3,158",闊葉樹林型,,生產性人工林,2.10743,402.587692507698
120.28565,22.9142,"3,159",闊葉樹林型,,經改造天然林,0.326409,431.465233413519
120.28819,22.91329,"3,160",闊葉樹林型,,生產性人工林,1.03816,283.775891212631
120.28984,22.91511,"3,161",闊葉樹林型,,生產性人工林,1.03816,92.6511946321495
120.2843,22.91211,"3,162",闊葉樹林型,,經改造天然林,0.326409,178.19098377998
120.27804,22.91535,"3,163",闊葉樹林型,,生產性人工林,0.367908,470.85437330139
120.28044,22.91537,"3,164",闊葉樹林型,,生產性人工林,2.10743,618.116938755221
120.79233,24.41325,"3,165",闊葉樹林型,"1100",原生林,1288.05,0
120.79029,24.41536,"3,166",闊葉樹林型,,生產性人工林,8971.7,0
120.78939,24.41802,"3,167",闊葉樹林型,,生產性人工林,8971.7,0
120.78863,24.41629,"3,168",竹闊混淆林,"2211",生產性人工林,1705.32,0
120.83694,24.16917,"3,169",闊葉樹林型,"2221",經改造天然林,46290.7,119.945921329856
120.88056,24.23917,"3,170",竹林,"2211",生產性人工林,13139.1,56.2394914277574
120.34172,22.81487,"3,171",闊葉樹林型,"2221",經改造天然林,213771,12.9657278745226
120.34302,22.81692,"3,172",闊葉樹林型,"1100",原生林,1288.05,8.72106795073853
120.34377,22.8192,"3,173",闊葉樹林型,"1100",原生林,1288.05,0
120.34272,22.82062,"3,174",闊葉樹林型,"2221",經改造天然林,103298,15.05955123238
120.342,22.82252,"3,175",闊葉樹林型,"2221",經改造天然林,213771,9.1716607217358
120.34057,22.82097,"3,176",闊葉樹林型,"2221",經改造天然林,213771,1.44608789584426
120.33948,22.81962,"3,177",闊葉樹林型,"1100",原生林,1288.05,1.84477959031428
120.34088,22.81845,"3,178",闊葉樹林型,"2221",經改造天然林,213771,1.06309376407961
120.34033,22.81665,"3,179",闊葉樹林型,"2221",經改造天然林,213771,4.74003607278986
120.293,22.77918,"3,180",闊葉樹林型,,生產性人工林,10.3705,8.5866412614503
120.291,22.7789,"3,181",闊葉樹林型,,生產性人工林,4.58561,142.952751450894
120.2893,22.77871,"3,182",闊葉樹林型,,生產性人工林,11.0699,122.320813351381
120.28879,22.78024,"3,183",闊葉樹林型,,生產性人工林,11.0699,257.824970098381
120.28371,22.78007,"3,184",闊葉樹林型,,生產性人工林,0.529462,1.81098503534489
120.2836,22.78192,"3,185",闊葉樹林型,,生產性人工林,0.529462,93.9865264820279
120.28722,22.78192,"3,186",闊葉樹林型,,生產性人工林,0.529462,416.384762609945
120.29133,22.78195,"3,187",闊葉樹林型,,生產性人工林,4.58561,9.7673564093616
120.55328,23.6318,"3,188",闊葉樹林型,,生產性人工林,5.88042,16.0722471830102
120.55551,23.63405,"3,189",竹林,,生產性人工林,1.51707,0
120.55711,23.63537,"3,190",闊葉樹林型,,生產性人工林,0.723468,42.6759146706054
120.55586,23.63762,"3,191",闊葉樹林型,,生產性人工林,1.21693,62.8367224192508
120.55452,23.63933,"3,192",闊葉樹林型,,生產性人工林,1.21693,227.033542377716
120.55872,23.63727,"3,193",闊葉樹林型,,經改造天然林,713.455,33.1765556930912
120.56015,23.63875,"3,194",闊葉樹林型,,經改造天然林,315.579,10.7685257530577
