"X","Y","NO"
121.23816,25.01089,481
121.74682,24.75592,482
121.74949,24.75491,483
121.75335,24.75285,484
121.75477,24.75462,485
121.75663,24.7545,486
121.75819,24.75082,487
121.75371,24.74563,488
121.75446,24.74384,489
121.75256,24.74338,490
121.75185,24.74515,491
121.75006,24.74468,492
121.75365,24.7404,493
121.75526,24.74201,494
121.74486,24.75774,495
121.7442,24.76009,496
121.74968,24.76203,497
121.75042,24.76556,498
121.75773,24.76398,499
121.76074,24.76211,500
120.46798,24.05592,501
120.4692,24.0575,502
120.46915,24.06009,503
120.47193,24.05945,504
120.47396,24.05822,505
120.47611,24.0573,506
120.47789,24.0565,507
120.48205,24.05641,508
120.47259,24.05526,509
120.88889,23.59869,510
120.88905,23.59649,511
120.88945,23.59409,512
120.89285,23.59199,513
120.89602,23.58909,514
120.88702,23.5914,515
120.88614,23.59437,516
120.88544,23.59639,517
121.72305,24.72748,518
121.72109,24.72601,519
121.7191,24.72527,520
121.71698,24.72454,521
121.71586,24.72212,522
121.71414,24.72105,523
121.71238,24.72007,524
121.71237,24.71811,525
121.71069,24.71698,526
121.37583,24.69111,527
121.37805,24.68972,528
121.37805,24.68639,529
121.3775,24.68306,530
121.37361,24.68194,531
121.37306,24.67917,532
121.37028,24.6775,533
121.36833,24.67444,534
121.36583,24.67417,535
121.36354,24.67678,536
121.29794,24.96827,537
121.29885,24.96647,538
121.29677,24.96447,539
121.29752,24.96273,540
121.2954,24.96181,541
121.29305,24.96193,542
121.29464,24.9656,543
121.54413,24.99057,544
121.54604,24.99193,545
121.54835,24.99247,546
121.5505,24.99377,547
121.5525,24.99337,548
121.5545,24.99145,549
121.5548,24.9894,550
120.91107,24.5897,551
120.91397,24.58808,552
120.91653,24.58734,553
120.91941,24.58741,554
120.92237,24.58804,555
120.92558,24.58727,556
120.90022,24.58649,557
120.90272,24.58525,558
120.90447,24.58375,559
120.90606,24.58098,560
120.90876,24.58014,561
120.91103,24.58103,562
120.91298,24.57986,563
120.39809,22.98144,564
120.3979,22.97945,565
120.39896,22.97773,566
120.39835,22.98359,567
120.40048,22.98477,568
120.40224,22.9828,569
120.40154,22.98033,570
120.40258,22.97835,571
120.40124,22.97639,572
120.39979,22.98074,573
120.60942,23.56056,574
120.61164,23.56232,575
120.61496,23.56386,576
120.61693,23.5663,577
120.62009,23.56349,578
120.61686,23.56452,579
120.61646,23.56292,580
120.61275,23.56094,581
120.61549,23.56104,582
121.25717,24.81068,583
121.26129,24.80951,584
121.26119,24.81398,585
121.27178,24.81835,586
121.26931,24.82061,587
121.28234,24.81962,588
121.28742,24.82336,589
120.44594,22.9732,590
120.44325,22.97471,591
120.44128,22.97209,592
120.44062,22.97066,593
120.43982,22.96901,594
120.43871,22.96675,595
120.43771,22.96464,596
120.25573,23.21402,597
120.25694,23.20702,598
120.25747,23.20385,599
120.26001,23.20385,600
120.25754,23.20137,601
120.25436,23.20309,602
120.25356,23.20131,603
120.25566,23.19962,604
120.2526,23.19833,605
120.25171,23.20134,606
120.47458,23.47857,607
120.46806,23.48147,608
120.47036,23.48333,609
120.46389,23.48389,610
120.46363,23.4805,611
120.46456,23.4785,612
120.93143,23.79085,613
120.9343,23.78908,614
120.93746,23.79132,615
120.9386,23.79447,616
120.94184,23.79335,617
120.94615,23.7917,618
120.94374,23.79263,619
120.94718,23.79353,620
121.52035,25.15196,621
121.51999,25.15423,622
121.51794,25.15566,623
121.51733,25.15794,624
121.51478,25.15707,625
121.51227,25.15628,626
121.51143,25.15391,627
121.513,25.15208,628
121.51344,25.15008,629
120.48194,24.16775,630
120.48356,24.16939,631
120.48428,24.17167,632
120.48216,24.17272,633
120.48272,24.17439,634
120.48792,24.17355,635
120.48739,24.17186,636
120.48939,24.17025,637
120.48853,24.1662,638
120.48698,24.16886,639
121.11709,24.50526,640
121.12017,24.50452,641
121.12355,24.50258,642
121.12601,24.49917,643
121.12882,24.4997,644
121.12963,24.50171,645
121.13311,24.50437,646
121.1334,24.5027,647
121.58289,24.76075,648
121.58519,24.75978,649
121.58769,24.75958,650
121.58975,24.76028,651
121.59247,24.75911,652
121.59214,24.75703,653
121.59467,24.75575,654
121.59711,24.75486,655
120.93664,22.53117,656
120.93412,22.52845,657
120.93176,22.52736,658
120.92952,22.52791,659
120.92751,22.52813,660
120.92649,22.52574,661
120.9236,22.52509,662
120.92059,22.52284,663
120.91977,22.5208,664
120.91795,22.51936,665
120.84087,24.495,666
120.84253,24.49244,667
120.84331,24.49049,668
120.84624,24.48847,669
120.84782,24.48744,670
120.85029,24.48614,671
120.9238,24.54434,672
120.9248,24.54239,673
120.92664,24.54036,674
120.92879,24.54056,675
120.93099,24.54036,676
120.93336,24.53909,677
120.83275,24.53706,678
120.83406,24.53524,679
120.83377,24.53296,680
120.8362,24.53066,681
120.83896,24.52995,682
