Site_N,Point,X.84,Y.84
A08-08,5,121.5735194,22.01826111
A08-08,3,121.5737528,22.01645278
A08-04,1,121.5741889,22.00462222
A08-07,3,121.5743417,22.03011667
A08-09,2,121.5752972,22.01013611
A08-08,4,121.5756111,22.015825
A08-07,2,121.5761222,22.02927778
A08-06,4,121.5762028,22.03278333
A08-09,3,121.5772722,22.00993889
A08-07,1,121.5777417,22.02808889
A08-06,5,121.5787167,22.03164444
A08-09,4,121.5789806,22.011025
A08-06,6,121.5794944,22.03005278
A04-56,2,121.5812278,24.97332778
A08-06,7,121.5817861,22.02899722
A04-56,3,121.5832111,24.96864722
A08-06,8,121.5846056,22.02905833
A04-56,4,121.5873556,24.97104722
A04-52,2,121.6124972,25.04501944
A04-52,3,121.6126028,25.04261389
A04-52,1,121.6130583,25.04688611
A04-52,5,121.6143778,25.04026944
A04-52,6,121.615775,25.03747222
A05-17,6,121.6723139,24.78458611
A03-20,9,121.7106861,24.716975
A03-20,8,121.712375,24.71811389
A03-20,7,121.7123833,24.72006944
A03-20,6,121.7141361,24.72105278
A03-20,5,121.7158583,24.72212222
A03-20,4,121.716975,24.72453889
A03-20,3,121.7190972,24.725275
A03-20,2,121.7210944,24.72601111
A03-20,1,121.7230528,24.72748056
A05-19,3,121.7293472,24.82145
A05-19,5,121.7327667,24.82371944
A01-07,1,121.7625389,25.16019722
A01-07,2,121.7627556,25.16165
A01-07,3,121.7644361,25.16227222
A01-07,4,121.7653528,25.16281944
A01-07,5,121.7654528,25.16154444
A03-22,5,121.8132325,24.60595139
A03-22,4,121.8136825,24.60383611
A02-06,7,121.9224611,25.02020556
A02-06,6,121.9240611,25.01449444
A02-06,9,121.9246028,25.01904722
A02-08,2,121.9247861,24.99201944
A02-08,1,121.9250167,24.96998056
A02-06,2,121.92525,25.01154722
A02-08,6,121.9266639,24.97706667
