¼Ë°Ï½s¸¹,LCODE_C2,area,perimeter
A40-20,"0605",964.539428710938,132.914228544922
B14-01,"0101",136983.723144531,9187.58778289242
A40-20,"0606",135.220336914062,73.1163303322338
A17-20,"0504",909.396179199219,276.602598431526
A38-02,"0401",2253.36410522461,435.019741782932
A34-35,"0502",11313.3860778809,1367.37709660824
A28-16,"0402",76.7464599609375,51.646125540327
A40-09,"0101",39704.9060668945,4388.9292429628
A34-35,"0501",11163.4658203125,1178.68544490464
A21-01,"0201",28576.9458007812,1349.34030685328
A22-06,"0303",10550.5147705078,4078.76795904069
A29-12,"0501",559.632080078125,108.031992502269
A21-01,"0202",30691.8008422852,2133.98101703412
A34-50,"0101",200682.733032227,9252.59825139041
A29-12,"0502",6649.76727294922,1283.64656369146
A34-35,"0503",25173.2549133301,2645.26154370265
A34-50,"0102",1754.25094604492,168.144820953068
A27-44,"0402",23257.5560302734,2709.98046927744
A34-50,"0104",4271.53363037109,439.947650056642
A04-28,"0701",3519.43475341797,239.897091785949
B14-09,"0903",1508.88238525391,176.592033925709
A04-28,"0702",69734.3963623047,3956.2736860237
A36-15,"0403",1896.68508911133,179.442611856386
A36-15,"0402",921.703948974609,514.984696319568
A10-07,"0903",4017.20129394531,390.759932404779
A29-12,"0503",26778.3399047852,2908.78853786572
A29-12,"0504",651.401550292969,158.513048741569
A04-05,"0303",471.8779296875,158.851984312255
A04-55,"0104",811.638916015625,393.072182528348
A28-07,"0605",167.309387207031,53.4526852037474
A02-10,"0604",11047.9611816406,464.615835648885
A04-55,"0101",97371.2680664062,7750.70509525541
A28-07,"0606",1542.90075683594,185.324579821241
A34-41,"0303",46645.0066833496,8198.83957673675
A17-02,"0904",52478.9046630859,2316.23948089398
A16-09,"0502",773.402893066406,170.947427347103
A34-58,"0908",12681.4540710449,1337.59926601262
A04-37,"0503",6986.64569091797,806.601172806045
A18-04,"0502",9325.67523193359,1110.81692191116
A04-37,"0504",6935.43231201172,640.996467202112
A18-04,"0504",288.358276367188,92.2838797866378
A04-37,"0502",2457.41888427734,412.598811874752
A04-18,"0908",10017.4276123047,2100.98369736443
A09-18,"0303",21502.7244262695,5496.00169775638
A09-27,"0104",395.9189453125,157.520808823506
A09-61,"0202",110456.707214355,7504.87884937068
A09-27,"0101",69422.8430786133,5499.95773986841
A29-04,"0702",24643.0645141602,2535.36359300158
A17-21,"0504",8045.44683837891,772.596180329366
A41-05,"0402",366.840087890625,212.568380923298
A41-05,"0403",676.271667480469,190.249610113118
A38-01,"0401",9715.47106933594,1015.28000455306
