Site_N,Point,Year,Survey,Macaca_sur,TypeName_O.x,Distance_O,X_new.x,Y_new.x,Do.survey,TypeName
A04-22,1,2015,1,0,闊葉樹林型,0,121.6081333,25.07811944,1,純闊葉林
A04-22,2,2015,1,0,闊葉樹林型,0,121.6111972,25.08005556,1,純闊葉林
A04-22,3,2015,1,0,闊葉樹林型,0,121.6112028,25.08114722,1,純闊葉林
A04-22,4,2015,1,0,闊葉樹林型,0,121.6133806,25.08066111,1,純闊葉林
A04-22,5,2015,1,0,闊葉樹林型,0,121.6114278,25.08251111,1,純闊葉林
A04-22,6,2015,1,0,闊葉樹林型,0,121.6116222,25.08399167,1,純闊葉林
A04-22,7,2015,1,0,闊葉樹林型,0,121.6128083,25.08524167,1,純闊葉林
A04-22,8,2015,1,0,闊葉樹林型,0,121.6102611,25.08458056,1,純闊葉林
A04-22,9,2015,1,0,闊葉樹林型,0,121.6091,25.08585,1,純闊葉林
A04-22,10,2015,1,0,闊葉樹林型,0,121.6076306,25.0849,1,純闊葉林
A04-23,1,2015,1,0,竹林,0,121.5767389,25.02979722,1,竹林
A04-23,2,2015,1,0,竹林,12.80131931,121.5765444,25.0281,1,竹林
A04-23,4,2015,1,0,竹林,0,121.5729556,25.02778889,1,竹林
A04-23,6,2015,1,0,竹林,0.61258877,121.5758833,25.02663333,1,竹林
A04-23,8,2015,1,0,闊葉樹林型,0,121.5800972,25.02517222,1,純闊葉林
A04-23,9,2015,1,0,闊葉樹林型,0,121.5806611,25.02908611,1,純闊葉林
A04-24,1,2015,1,0,竹林,0,121.598912,25.026424,1,竹林
A04-24,2,2015,1,0,竹林,0,121.598403,25.027699,1,竹林
A04-24,3,2015,1,0,竹林,0.63647433,121.597568,25.029111,1,竹林
A04-24,4,2015,1,0,竹林,0,121.596089,25.030724,1,竹林
A04-24,5,2015,1,0,闊葉樹林型,0,121.594572,25.032508,1,純闊葉林
A04-24,6,2015,1,0,竹林,0,121.596984,25.033537,1,竹林
A04-24,7,2015,1,0,竹林,0,121.598857,25.033412,1,竹林
A04-24,8,2015,1,0,竹林,0,121.600314,25.033587,1,竹林
A04-24,9,2015,1,0,竹林,0,121.601781,25.033581,1,竹林
A04-24,10,2015,1,0,竹林,0,121.603174,25.032799,1,竹林
A04-25,1,2015,1,0,闊葉樹林型,2.9745527,121.5441278,24.99056667,1,純闊葉林
A04-25,2,2015,1,0,闊葉樹林型,0,121.5460444,24.99193333,1,純闊葉林
A04-25,3,2015,1,0,闊葉樹林型,0,121.5483472,24.99246667,1,純闊葉林
A04-25,4,2015,1,0,闊葉樹林型,0,121.5505,24.99376667,1,純闊葉林
A04-25,5,2015,1,0,闊葉樹林型,0,121.5525,24.99337222,1,純闊葉林
A04-25,6,2015,1,0,闊葉樹林型,0.82743457,121.5545028,24.99145,1,純闊葉林
A04-25,7,2015,1,0,闊葉樹林型,8.19800877,121.5548,24.9894,1,純闊葉林
A04-26,1,2015,1,0,闊葉樹林型,3.77179655,121.5838472,24.97570833,1,純闊葉林
A04-26,2,2015,1,0,竹林,0,121.5850361,24.97424167,1,竹林
A04-26,3,2015,1,0,闊葉樹林型,0,121.58645,24.97343889,1,純闊葉林
A04-26,4,2015,1,0,闊葉樹林型,0,121.5867278,24.97273056,1,純闊葉林
A04-26,5,2015,1,0,闊葉樹林型,0,121.5880083,24.97010278,1,純闊葉林
A04-26,6,2015,1,0,闊葉樹林型,5.72984114,121.5888472,24.96697222,1,純闊葉林
A04-26,7,2015,1,0,闊葉樹林型,0,121.5886472,24.96501667,1,純闊葉林
A04-26,8,2015,1,0,闊葉樹林型,0,121.5899889,24.96428333,1,純闊葉林
A04-26,9,2015,1,0,闊葉樹林型,0,121.5916972,24.96396667,1,純闊葉林
A04-26,10,2015,1,0,闊葉樹林型,0,121.593175,24.96368056,1,純闊葉林
A04-30,1,2015,1,0,闊葉樹林型,12.20127189,121.61465,25.09683333,1,純闊葉林
A04-30,2,2015,1,0,闊葉樹林型,13.32531924,121.6176917,25.0945,1,純闊葉林
A04-30,3,2015,1,0,闊葉樹林型,10.16923629,121.6206139,25.09168889,1,純闊葉林
A04-30,4,2015,1,0,闊葉樹林型,2.67684312,121.6217917,25.09524167,1,純闊葉林
A04-30,5,2015,1,0,闊葉樹林型,7.17084079,121.6224667,25.08744722,1,純闊葉林
A04-30,6,2015,1,0,闊葉樹林型,10.75043251,121.6248306,25.08653333,1,純闊葉林
A04-31,1,2015,1,0,闊葉樹林型,0,121.531981,24.985492,1,純闊葉林
A04-31,5,2015,1,0,闊葉樹林型,0,121.52969,24.982602,1,純闊葉林
A04-32,1,2015,1,0,竹闊混淆林,2.6737618,121.688736,25.110633,1,混淆林
A04-32,2,2015,1,0,闊葉樹林型,0,121.686231,25.111322,1,純闊葉林
A04-32,3,2015,1,0,闊葉樹林型,3.888829,121.681,25.115661,1,純闊葉林
A04-32,4,2015,1,0,闊葉樹林型,5.25358272,121.680902,25.121186,1,純闊葉林
A04-32,5,2015,1,0,闊葉樹林型,0,121.67963,25.124388,1,純闊葉林
A04-32,6,2015,1,0,竹闊混淆林,2.52396502,121.673797,25.133036,1,混淆林
A04-33,1,2015,1,0,闊葉樹林型,1.81176539,121.70986,25.12479,1,純闊葉林
A04-33,2,2015,1,0,闊葉樹林型,0,121.712438,25.121311,1,純闊葉林
A04-33,3,2015,1,0,闊葉樹林型,11.25275008,121.710446,25.116293,1,純闊葉林
A04-33,5,2015,1,0,闊葉樹林型,6.4937461,121.711799,25.106861,1,純闊葉林
A04-35,1,2015,1,0,闊葉樹林型,0,121.5788333,25.10567778,1,純闊葉林
A04-35,2,2015,1,0,闊葉樹林型,0,121.577325,25.10544167,1,純闊葉林
A04-35,3,2015,1,0,闊葉樹林型,0,121.57595,25.10399167,1,純闊葉林
A04-35,4,2015,1,0,闊葉樹林型,0,121.5744556,25.10249167,1,純闊葉林
A04-35,5,2015,1,0,闊葉樹林型,0,121.5729361,25.10212778,1,純闊葉林
A04-35,6,2015,1,0,闊葉樹林型,0,121.571175,25.10098611,1,純闊葉林
A04-35,7,2015,1,0,闊葉樹林型,0,121.5696528,25.09976389,1,純闊葉林
A04-35,8,2015,1,0,闊葉樹林型,0,121.5678972,25.09920278,1,純闊葉林
A04-35,9,2015,1,0,闊葉樹林型,0,121.5663639,25.09823333,1,純闊葉林
A04-35,10,2015,1,0,闊葉樹林型,0,121.5647167,25.09774444,1,純闊葉林
A04-36,1,2015,1,0,闊葉樹林型,0,121.5684944,25.10614167,1,純闊葉林
A04-36,2,2015,1,0,闊葉樹林型,0,121.5673389,25.10494722,1,純闊葉林
A04-36,4,2015,1,0,闊葉樹林型,0,121.5700333,25.10426111,1,純闊葉林
A04-36,5,2015,1,0,闊葉樹林型,0,121.5714944,25.10524722,1,純闊葉林
A04-36,8,2015,1,0,闊葉樹林型,0,121.5752139,25.105875,1,純闊葉林
A04-36,11,2015,1,0,闊葉樹林型,1.16864178,121.5692056,25.10261667,1,純闊葉林
A04-36,12,2015,1,0,闊葉樹林型,14.04929281,121.5733333,25.10623611,1,純闊葉林
A04-37,1,2015,1,0,闊葉樹林型,0,121.5100833,25.22070278,1,純闊葉林
A04-37,2,2015,1,0,闊葉樹林型,10.33476583,121.5062861,25.22361389,1,純闊葉林
A04-37,3,2015,1,0,闊葉樹林型,0,121.5038306,25.22533056,1,純闊葉林
A04-37,4,2015,1,0,闊葉樹林型,0,121.5010917,25.22757778,1,純闊葉林
A04-37,5,2015,1,0,闊葉樹林型,1.87571769,121.4992194,25.22853333,1,純闊葉林
A04-37,6,2015,1,0,闊葉樹林型,0,121.496675,25.23021944,1,純闊葉林
A04-37,7,2015,1,0,闊葉樹林型,10.47408043,121.4950194,25.23314167,1,純闊葉林
A04-37,8,2015,1,0,闊葉樹林型,0,121.4935972,25.23480833,1,純闊葉林
A04-37,10,2015,1,0,竹林,0,121.4850333,25.24294167,1,竹林
A04-39,1,2015,1,0,闊葉樹林型,6.41524419,121.737061,24.954013,1,純闊葉林
A04-39,2,2015,1,0,闊葉樹林型,0,121.736993,24.9559,1,純闊葉林
A04-39,3,2015,1,0,闊葉樹林型,0,121.736288,24.957177,1,純闊葉林
A04-39,4,2015,1,0,竹闊混淆林,11.23882693,121.735897,24.958154,1,混淆林
A04-39,5,2015,1,0,闊葉樹林型,0,121.731797,24.961379,1,純闊葉林
A04-39,6,2015,1,0,闊葉樹林型,0,121.72977,24.96203,1,純闊葉林
A04-39,7,2015,1,0,闊葉樹林型,16.30575891,121.727893,24.962752,1,純闊葉林
A04-39,8,2015,1,0,針闊葉樹混淆,0,121.727958,24.965352,1,混淆林
A04-39,9,2015,1,0,針葉樹林型,18.99996866,121.727034,24.966566,1,純針葉林
A04-39,10,2015,1,0,闊葉樹林型,0,121.726093,24.968178,1,純闊葉林
A04-41,1,2015,1,0,闊葉樹林型,0,121.5378389,24.93596944,1,純闊葉林
A04-41,2,2015,1,0,闊葉樹林型,0,121.5367889,24.93388889,1,純闊葉林
A04-41,3,2015,1,0,闊葉樹林型,5.80075783,121.5355167,24.93533611,1,純闊葉林
A04-41,4,2015,1,0,闊葉樹林型,0,121.5348028,24.93699167,1,純闊葉林
A04-41,5,2015,1,0,闊葉樹林型,0,121.5329972,24.93845278,1,純闊葉林
A04-41,6,2015,1,0,闊葉樹林型,0.03078552,121.5312306,24.93529722,1,純闊葉林
A04-41,7,2015,1,0,闊葉樹林型,0,121.5326306,24.93373056,1,純闊葉林
A04-41,8,2015,1,0,闊葉樹林型,0,121.5333528,24.93185,1,純闊葉林
A04-41,9,2015,1,0,闊葉樹林型,0,121.5340111,24.93034167,1,純闊葉林
A04-41,10,2015,1,0,闊葉樹林型,3.54157941,121.5340611,24.92843611,1,純闊葉林
A04-46,1,2015,1,0,闊葉樹林型,0,121.5762778,24.96991667,1,純闊葉林
A04-46,2,2015,1,0,闊葉樹林型,9.3285413,121.5759722,24.96827778,1,純闊葉林
A04-46,3,2015,1,0,闊葉樹林型,9.93245317,121.5774722,24.96808333,1,純闊葉林
A04-46,4,2015,1,0,竹林,0,121.5788056,24.97019444,1,竹林
A04-46,5,2015,1,0,闊葉樹林型,16.85774958,121.5800278,24.97127778,1,純闊葉林
A04-46,6,2015,1,0,闊葉樹林型,0,121.5794167,24.97325,1,純闊葉林
A04-48,1,2015,1,0,闊葉樹林型,0,121.446186,25.205879,1,純闊葉林
A04-48,2,2015,1,0,闊葉樹林型,1.86705174,121.443427,25.205716,1,純闊葉林
A04-48,5,2015,1,0,闊葉樹林型,4.62489732,121.442184,25.207823,1,純闊葉林
A04-48,6,2015,1,0,闊葉樹林型,5.04612922,121.445439,25.213266,1,純闊葉林
A04-48,8,2015,1,0,闊葉樹林型,3.00546003,121.441839,25.211309,1,純闊葉林
A04-48,9,2015,1,0,闊葉樹林型,1.99534404,121.438973,25.211742,1,純闊葉林
A04-49,1,2015,1,0,闊葉樹林型,2.7596364,121.5691694,24.89228056,1,純闊葉林
A04-49,2,2015,1,0,闊葉樹林型,0,121.568475,24.89440278,1,純闊葉林
A04-49,3,2015,1,0,闊葉樹林型,0,121.5668694,24.89553611,1,純闊葉林
A04-49,4,2015,1,0,闊葉樹林型,0,121.5652861,24.89712778,1,純闊葉林
A04-49,5,2015,1,0,闊葉樹林型,1.46172799,121.567925,24.89727778,1,純闊葉林
A04-49,6,2015,1,0,闊葉樹林型,0,121.5672806,24.8993,1,純闊葉林
A04-49,7,2015,1,0,闊葉樹林型,0,121.5655694,24.90122222,1,純闊葉林
A04-49,8,2015,1,0,闊葉樹林型,0,121.5620361,24.90156667,1,純闊葉林
A04-49,9,2015,1,0,闊葉樹林型,0.40068716,121.5597611,24.90344167,1,純闊葉林
A04-49,10,2015,1,0,闊葉樹林型,0,121.55675,24.90459167,1,純闊葉林
A04-50,2,2015,1,0,闊葉樹林型,15.16135294,121.5489194,24.95014167,1,純闊葉林
A04-50,5,2015,1,0,竹林,0,121.5557111,24.95288889,1,竹林
A04-50,8,2015,1,0,闊葉樹林型,14.91840471,121.5642806,24.95300833,1,純闊葉林
A04-51,1,2015,1,0,闊葉樹林型,0,121.678943,24.98988,1,純闊葉林
A04-51,2,2015,1,0,闊葉樹林型,0,121.673723,24.992003,1,純闊葉林
A04-51,3,2015,1,0,闊葉樹林型,0,121.676966,24.992621,1,純闊葉林
A04-51,4,2015,1,0,闊葉樹林型,0,121.679354,24.993341,1,純闊葉林
A04-51,5,2015,1,0,闊葉樹林型,0,121.681329,24.994031,1,純闊葉林
A04-51,6,2015,1,0,闊葉樹林型,0,121.684528,24.993713,1,純闊葉林
A04-51,7,2015,1,0,闊葉樹林型,0,121.687677,24.995125,1,純闊葉林
A04-51,8,2015,1,0,闊葉樹林型,0,121.681711,24.991093,1,純闊葉林
A04-52,4,2015,1,0,闊葉樹林型,13.24989098,121.610603,25.04072,1,純闊葉林
A04-53,5,2015,1,0,竹林,5.97238663,121.5243444,25.01533611,1,竹林
A04-53,6,2015,1,0,竹林,6.84086242,121.5263667,25.01262778,1,竹林
A04-53,8,2015,1,0,竹林,0,121.5319833,25.00958333,1,竹林
A04-55,1,2015,1,0,竹林,1.51432243,121.5377,24.94072222,1,竹林
A04-55,2,2015,1,0,竹林,1.52020526,121.5387972,24.93915556,1,竹林
A04-55,3,2015,1,0,竹林,0,121.5407944,24.93885556,1,竹林
A04-55,4,2015,1,0,竹林,16.8079208,121.54185,24.94049167,1,竹林
A04-55,5,2015,1,0,竹林,0.19531217,121.5424306,24.94223056,1,竹林
A04-55,6,2015,1,0,竹林,6.67060568,121.5404361,24.942425,1,竹林
A05-01,1,2015,1,0,闊葉樹林型,0,121.4540944,24.94486944,1,純闊葉林
A05-01,2,2015,1,0,闊葉樹林型,0,121.4558222,24.94598611,1,純闊葉林
A05-01,3,2015,1,0,闊葉樹林型,0,121.4577139,24.94681944,1,純闊葉林
A05-01,4,2015,1,0,闊葉樹林型,0,121.4595611,24.94773333,1,純闊葉林
A05-01,5,2015,1,0,闊葉樹林型,0,121.4620556,24.947375,1,純闊葉林
