nid,原始紀錄物種,數量,數量單位,觀測年,觀測月,觀測日,觀測時,觀測分,原始X座標,原始Y座標,經度(十進位),緯度(十進位),原始空間參考系統,樣區代碼,樣點代號,地點,記錄者,觀測方式,照片檔名
23064160,臺灣獼猴,1,群,2024,5,23,9,43,236795,2446762,120.8720016,22.11921376,TWD97,MA-F26-03,4,59林班-九棚段,韋嘉彥;王騰示,人為觀測,
23064161,臺灣獼猴,1,群,2024,5,15,8,41,227176,2450113,120.7787161,22.1493791,TWD97,MA-F26-05,3,恆春事業區第13林班,邱水鏡,人為觀測,
23064162,臺灣獼猴,1,群,2024,5,31,10,0,238870,2443395,120.892138,22.08881847,TWD97,MA-F26-11,2,恆春事業區第53、54林班,許志強,人為觀測,
23064163,臺灣獼猴,1,群,2024,5,20,8,20,288657,2575170,121.377874,23.27847138,TWD97,MA-G27-09,1,安通越嶺古道,吳昆松;武秀芳;祈克勤;陳睿騏,人為觀測,
23064164,臺灣獼猴,1,群,2024,5,23,9,35,304782,2656336,121.5384825,24.01090883,TWD97,MA-G28-01,2,木瓜山8林班,潘巧瑜,人為觀測,
23064165,臺灣獼猴,1,群,2024,5,23,9,16,309201,2643171,121.5813846,23.89188109,TWD97,MA-G28-04,4,林田山144林班,倪東正,人為觀測,
23064166,臺灣獼猴,1,群,2024,5,15,9,6,307472,2640408,121.5642974,23.86699641,TWD97,MA-G28-06,2,月眉208卡箱,呂溱甄,人為觀測,
23064167,臺灣獼猴,1,群,2024,5,15,9,41,307294,2640021,121.5625346,23.86350847,TWD97,MA-G28-06,4,月眉208卡箱,呂溱甄,人為觀測,
23064168,臺灣獼猴,1,群,2024,5,7,10,31,296222,2637529,121.4537501,23.84136577,TWD97,MA-G28-09,8,原荖腦山東方,林政融,人為觀測,
23064169,臺灣獼猴,1,群,2024,5,14,8,10,293234,2655397,121.4249458,24.00278704,TWD97,MA-G28-14,1,花蓮縣龍澗,陳智宏,人為觀測,
23064170,臺灣獼猴,1,群,2024,5,31,8,50,325045,2688713,121.7393281,24.30240003,TWD97,MA-G29-05,2,克寶山,陳冠三;黃國權,人為觀測,
23064171,臺灣獼猴,1,群,2024,5,31,9,26,324015,2689070,121.7291998,24.30567225,TWD97,MA-G29-05,4,克寶山,陳冠三;黃國權,人為觀測,
23064172,臺灣獼猴,1,群,2024,5,21,9,57,300376,2622798,121.4940251,23.70822667,TWD97,MA-G30-09,4,縣道193線山興,林忠義,人為觀測,
23064173,臺灣獼猴,1,群,2024,5,17,10,14,304549,2617742,121.5347614,23.66243721,TWD97,MA-G30-11,2,新社產業道路梳子壩,汪秀琴,人為觀測,
23064174,臺灣獼猴,1,群,2024,5,15,8,46,246534,2494429,120.9663001,22.54976426,TWD97,MA-H31-02,6,大武11林班富山產業道路,陳柏霖;王育誠,人為觀測,
23064175,臺灣獼猴,1,群,2024,5,30,10,0,236331,2482909,120.8671961,22.44567254,TWD97,MA-H31-04,5,大武24林班大竹溪流域,邱鉑傑;林惠國,人為觀測,
23064176,臺灣獼猴,1,群,2024,5,3,8,42,236197,2473170,120.8659785,22.35771478,TWD97,MA-H31-09,5,大武44林班加拉板溪,白俊偉,人為觀測,
23064177,臺灣獼猴,1,群,2024,5,3,10,38,235147,2468687,120.8558251,22.31721801,TWD97,MA-H31-10,2,保安林2520,白俊偉,人為觀測,
